Flight_no,Flight_Date,day_of_week,is_weekend,month_name,quarter_label,year,Carrier_Name,Carrier_Code,Origin_Airport_Code,Origin_Airport_Name,Destination_Airport_Code,Destination_Airport_Name,Route,Flight_Status,Tail_no,First_Class_Seats,Business_Class_Seats,Economy_Class_Seats,Total_Seats,Flown_Coupon_Count,Passenger_Count,Route_Traffic,Daily_Flight_Volume,Flight_Load_Factor_Pct
551,2025-03-12,Wednesday,False,March,Q1,2025,Star Air,XX,DXB,Dubai International Airport,MAA,Chennai International Airport,DXB-MAA,,,,,,,255,255,511,25,
117,2025-03-12,Wednesday,False,March,Q1,2025,Star Air,XX,DXB,Dubai International Airport,MAA,Chennai International Airport,DXB-MAA,,,,,,,256,256,511,25,
165,2025-03-12,Wednesday,False,March,Q1,2025,Star Air,XX,DXB,Dubai International Airport,MEL,Melbourne Airport (MEL),DXB-MEL,,,,,,,246,246,246,25,
386,2025-03-12,Wednesday,False,March,Q1,2025,Star Air,XX,DXB,Dubai International Airport,MIL,Milan–Malpensa Airport,DXB-MIL,,,,,,,245,245,502,25,
253,2025-03-12,Wednesday,False,March,Q1,2025,Star Air,XX,DXB,Dubai International Airport,MRU,Sir Seewoosagur Ramgoolam International Airport,DXB-MRU,,,,,,,260,260,260,25,
542,2025-03-12,Wednesday,False,March,Q1,2025,Star Air,XX,DXB,Dubai International Airport,ORD,O'Hare International Airport (ORD),DXB-ORD,,,,,,,256,256,507,25,
529,2025-03-12,Wednesday,False,March,Q1,2025,Star Air,XX,DXB,Dubai International Airport,ORD,O'Hare International Airport (ORD),DXB-ORD,,,,,,,251,251,507,25,
637,2025-03-12,Wednesday,False,March,Q1,2025,Star Air,XX,DXB,Dubai International Airport,SYD,Sydney Kingsford Smith Airport (SYD),DXB-SYD,,,,,,,236,236,498,25,
161,2025-03-12,Wednesday,False,March,Q1,2025,Star Air,XX,DXB,Dubai International Airport,SYD,Sydney Kingsford Smith Airport (SYD),DXB-SYD,,,,,,,262,262,498,25,
998,2025-03-12,Wednesday,False,March,Q1,2025,Star Air,XX,LHE,Allama Iqbal International Airport,DXB,Dubai International Airport,LHE-DXB,,,,,,,256,256,515,25,
366,2025-03-12,Wednesday,False,March,Q1,2025,Star Air,XX,MAA,Chennai International Airport,DXB,Dubai International Airport,MAA-DXB,,,,,,,244,244,244,25,
575,2025-03-12,Wednesday,False,March,Q1,2025,Star Air,XX,SIN,Singapore Changi Airport (SIN),DXB,Dubai International Airport,SIN-DXB,,,,,,,258,258,518,25,
597,2025-03-12,Wednesday,False,March,Q1,2025,Star Air,XX,SIN,Singapore Changi Airport (SIN),DXB,Dubai International Airport,SIN-DXB,Active,9V6271,10.0,40.0,295.0,345.0,260,260,518,25,75.36
685,2025-04-03,Thursday,False,April,Q2,2025,Star Air,XX,DXB,Dubai International Airport,LHR,Heathrow Airport,DXB-LHR,,,,,,,233,233,233,25,
653,2025-04-03,Thursday,False,April,Q2,2025,Star Air,XX,DXB,Dubai International Airport,SVO,Sheremetyevo International Airport,DXB-SVO,Active,C-F2951,6.0,21.0,294.0,321.0,235,235,235,25,73.21
819,2025-04-19,Saturday,True,April,Q2,2025,Star Air,XX,BOM,Chhatrapati Shivaji Maharaj International Airport,DXB,Dubai International Airport,BOM-DXB,Active,9V8060,6.0,30.0,290.0,326.0,249,249,249,19,76.38
867,2025-04-19,Saturday,True,April,Q2,2025,Star Air,XX,MIL,Milan–Malpensa Airport,DXB,Dubai International Airport,MIL-DXB,Active,VT6758,13.0,40.0,285.0,338.0,232,232,713,19,68.64
680,2025-04-03,Thursday,False,April,Q2,2025,Star Air,XX,YUL,Montréal–Trudeau International Airport,DXB,Dubai International Airport,YUL-DXB,,,,,,,241,241,241,25,
246,2025-06-16,Monday,False,June,Q2,2025,Star Air,XX,MEL,Melbourne Airport (MEL),DXB,Dubai International Airport,MEL-DXB,Active,C-F3169,14.0,27.0,296.0,337.0,242,242,702,19,71.81
653,2025-06-16,Monday,False,June,Q2,2025,Star Air,XX,SVO,Sheremetyevo International Airport,DXB,Dubai International Airport,SVO-DXB,,,,,,,267,267,267,19,
576,2025-03-12,Wednesday,False,March,Q1,2025,Star Air,XX,YUL,Montréal–Trudeau International Airport,DXB,Dubai International Airport,YUL-DXB,,,,,,,248,248,248,25,
731,2025-03-12,Wednesday,False,March,Q1,2025,Star Air,XX,YYZ,Toronto Pearson International Airport,DXB,Dubai International Airport,YYZ-DXB,,,,,,,246,246,246,25,
883,2025-04-03,Thursday,False,April,Q2,2025,Star Air,XX,BNE,Brisbane Airport (BNE),DXB,Dubai International Airport,BNE-DXB,Active,VT5475,8.0,27.0,298.0,333.0,253,253,502,25,75.98
233,2025-04-03,Thursday,False,April,Q2,2025,Star Air,XX,BNE,Brisbane Airport (BNE),DXB,Dubai International Airport,BNE-DXB,Active,9V3030,8.0,27.0,299.0,334.0,249,249,502,25,74.55
457,2025-04-03,Thursday,False,April,Q2,2025,Star Air,XX,AKL,Auckland Airport,DXB,Dubai International Airport,AKL-DXB,,,,,,,244,244,244,25,
970,2025-04-03,Thursday,False,April,Q2,2025,Star Air,XX,BKK,Suvarnabhumi Airport,DXB,Dubai International Airport,BKK-DXB,Active,9V9352,16.0,33.0,296.0,345.0,229,229,229,25,66.38
235,2025-04-19,Saturday,True,April,Q2,2025,Star Air,XX,BNE,Brisbane Airport (BNE),DXB,Dubai International Airport,BNE-DXB,Active,A64657,16.0,34.0,295.0,345.0,238,238,238,19,68.99
229,2025-04-03,Thursday,False,April,Q2,2025,Star Air,XX,DXB,Dubai International Airport,BKK,Suvarnabhumi Airport,DXB-BKK,,,,,,,249,249,249,25,
970,2025-06-16,Monday,False,June,Q2,2025,Star Air,XX,DXB,Dubai International Airport,BKK,Suvarnabhumi Airport,DXB-BKK,,,,,,,218,218,218,19,
153,2025-04-03,Thursday,False,April,Q2,2025,Star Air,XX,DXB,Dubai International Airport,BNE,Brisbane Airport (BNE),DXB-BNE,,,,,,,244,244,244,25,
545,2025-04-03,Thursday,False,April,Q2,2025,Star Air,XX,DXB,Dubai International Airport,CCU,Netaji Subhas Chandra Bose International Airport,DXB-CCU,,,,,,,230,230,461,25,
480,2025-04-03,Thursday,False,April,Q2,2025,Star Air,XX,DXB,Dubai International Airport,CCU,Netaji Subhas Chandra Bose International Airport,DXB-CCU,,,,,,,231,231,461,25,
242,2025-04-03,Thursday,False,April,Q2,2025,Star Air,XX,DXB,Dubai International Airport,COK,Cochin International Airport,DXB-COK,,,,,,,244,244,496,25,
989,2025-04-03,Thursday,False,April,Q2,2025,Star Air,XX,DXB,Dubai International Airport,COK,Cochin International Airport,DXB-COK,,,,,,,252,252,496,25,
608,2025-04-19,Saturday,True,April,Q2,2025,Star Air,XX,DXB,Dubai International Airport,KUL,Kuala Lumpur International Airport,DXB-KUL,,,,,,,236,236,236,19,
883,2025-06-16,Monday,False,June,Q2,2025,Star Air,XX,DXB,Dubai International Airport,BNE,Brisbane Airport (BNE),DXB-BNE,,,,,,,236,236,487,19,
233,2025-06-16,Monday,False,June,Q2,2025,Star Air,XX,DXB,Dubai International Airport,BNE,Brisbane Airport (BNE),DXB-BNE,,,,,,,251,251,487,19,
192,2025-06-16,Monday,False,June,Q2,2025,Star Air,XX,DXB,Dubai International Airport,CHC,Christchurch Airport,DXB-CHC,,,,,,,249,249,249,19,
926,2025-04-03,Thursday,False,April,Q2,2025,Star Air,XX,DXB,Dubai International Airport,CPT,Cape Town International Airport,DXB-CPT,,,,,,,223,223,223,25,
195,2025-04-03,Thursday,False,April,Q2,2025,Star Air,XX,DXB,Dubai International Airport,KHI,Jinnah International Airport,DXB-KHI,Active,C-F1407,16.0,37.0,286.0,339.0,239,239,239,25,70.5
139,2025-04-19,Saturday,True,April,Q2,2025,Star Air,XX,DXB,Dubai International Airport,CPT,Cape Town International Airport,DXB-CPT,Active,A68535,13.0,40.0,293.0,346.0,241,241,241,19,69.65
225,2025-04-19,Saturday,True,April,Q2,2025,Star Air,XX,DXB,Dubai International Airport,DFW,Dallas/Fort Worth International Airport (DFW,DXB-DFW,,,,,,,208,208,208,19,
310,2025-04-03,Thursday,False,April,Q2,2025,Star Air,XX,DXB,Dubai International Airport,IAH,George Bush Intercontinental Airport,DXB-IAH,,,,,,,214,214,214,25,
560,2025-06-16,Monday,False,June,Q2,2025,Star Air,XX,DXB,Dubai International Airport,FRA,Frankfurt Airport (FRA),DXB-FRA,,,,,,,247,247,247,19,
393,2025-04-19,Saturday,True,April,Q2,2025,Star Air,XX,DXB,Dubai International Airport,LHE,Allama Iqbal International Airport,DXB-LHE,,,,,,,238,238,238,19,
822,2025-04-03,Thursday,False,April,Q2,2025,Star Air,XX,DXB,Dubai International Airport,LHE,Allama Iqbal International Airport,DXB-LHE,Active,D-A3227,13.0,37.0,282.0,332.0,219,219,219,25,65.96
629,2025-04-03,Thursday,False,April,Q2,2025,Star Air,XX,DXB,Dubai International Airport,MIL,Milan–Malpensa Airport,DXB-MIL,,,,,,,215,215,215,25,
772,2025-06-16,Monday,False,June,Q2,2025,Star Air,XX,DXB,Dubai International Airport,MEL,Melbourne Airport (MEL),DXB-MEL,,,,,,,253,253,253,19,
277,2025-04-03,Thursday,False,April,Q2,2025,Star Air,XX,DXB,Dubai International Airport,PEW,Bacha Khan International Airport,DXB-PEW,,,,,,,241,241,241,25,
343,2025-06-16,Monday,False,June,Q2,2025,Star Air,XX,DXB,Dubai International Airport,SYD,Sydney Kingsford Smith Airport (SYD),DXB-SYD,,,,,,,241,241,486,19,
672,2025-06-16,Monday,False,June,Q2,2025,Star Air,XX,DXB,Dubai International Airport,SYD,Sydney Kingsford Smith Airport (SYD),DXB-SYD,,,,,,,245,245,486,19,
952,2025-04-19,Saturday,True,April,Q2,2025,Star Air,XX,DXB,Dubai International Airport,SYD,Sydney Kingsford Smith Airport (SYD),DXB-SYD,,,,,,,240,240,240,19,
924,2025-04-03,Thursday,False,April,Q2,2025,Star Air,XX,HAN,Noi Bai International Airport,DXB,Dubai International Airport,HAN-DXB,,,,,,,247,247,247,25,
578,2025-06-16,Monday,False,June,Q2,2025,Star Air,XX,DXB,Dubai International Airport,YUL,Montréal–Trudeau International Airport,DXB-YUL,Active,9V3090,14.0,20.0,288.0,322.0,249,249,501,19,77.33
404,2025-06-16,Monday,False,June,Q2,2025,Star Air,XX,DXB,Dubai International Airport,YUL,Montréal–Trudeau International Airport,DXB-YUL,Active,9V7174,11.0,23.0,295.0,329.0,252,252,501,19,76.6
576,2025-04-19,Saturday,True,April,Q2,2025,Star Air,XX,DXB,Dubai International Airport,YUL,Montréal–Trudeau International Airport,DXB-YUL,Active,D-A7627,11.0,39.0,293.0,343.0,243,243,243,19,70.85
499,2025-06-16,Monday,False,June,Q2,2025,Star Air,XX,HYD,Hyderabad - Rajiv Gandhi International Airport,DXB,Dubai International Airport,HYD-DXB,Active,C-F5692,10.0,32.0,292.0,334.0,260,260,260,19,77.84
847,2025-04-03,Thursday,False,April,Q2,2025,Star Air,XX,DUB,Dublin Airport (DUB),DXB,Dubai International Airport,DUB-DXB,Active,D-A2713,12.0,31.0,298.0,341.0,250,250,250,25,73.31
731,2025-04-19,Saturday,True,April,Q2,2025,Star Air,XX,DXB,Dubai International Airport,YYZ,Toronto Pearson International Airport,DXB-YYZ,Active,A65203,13.0,32.0,283.0,328.0,252,252,252,19,76.83
165,2025-04-19,Saturday,True,April,Q2,2025,Star Air,XX,MEL,Melbourne Airport (MEL),DXB,Dubai International Airport,MEL-DXB,Active,VT7158,7.0,26.0,293.0,326.0,248,248,248,19,76.07
822,2025-06-16,Monday,False,June,Q2,2025,Star Air,XX,LHE,Allama Iqbal International Airport,DXB,Dubai International Airport,LHE-DXB,,,,,,,220,220,220,19,
551,2025-04-19,Saturday,True,April,Q2,2025,Star Air,XX,MAA,Chennai International Airport,DXB,Dubai International Airport,MAA-DXB,Active,C-F2165,9.0,24.0,294.0,327.0,234,234,234,19,71.56
840,2025-04-03,Thursday,False,April,Q2,2025,Star Air,XX,MRU,Sir Seewoosagur Ramgoolam International Airport,DXB,Dubai International Airport,MRU-DXB,,,,,,,245,245,245,25,
253,2025-04-19,Saturday,True,April,Q2,2025,Star Air,XX,MRU,Sir Seewoosagur Ramgoolam International Airport,DXB,Dubai International Airport,MRU-DXB,Active,9V9961,7.0,39.0,294.0,340.0,250,250,497,19,73.53
815,2025-04-19,Saturday,True,April,Q2,2025,Star Air,XX,MRU,Sir Seewoosagur Ramgoolam International Airport,DXB,Dubai International Airport,MRU-DXB,,,,,,,247,247,497,19,
456,2025-04-19,Saturday,True,April,Q2,2025,Star Air,XX,MIL,Milan–Malpensa Airport,DXB,Dubai International Airport,MIL-DXB,,,,,,,246,246,713,19,
386,2025-04-19,Saturday,True,April,Q2,2025,Star Air,XX,MIL,Milan–Malpensa Airport,DXB,Dubai International Airport,MIL-DXB,,,,,,,235,235,713,19,
793,2025-04-19,Saturday,True,April,Q2,2025,Star Air,XX,PEW,Bacha Khan International Airport,DXB,Dubai International Airport,PEW-DXB,Active,C-F1437,8.0,38.0,297.0,343.0,234,234,234,19,68.22
231,2025-06-16,Monday,False,June,Q2,2025,Star Air,XX,MEL,Melbourne Airport (MEL),DXB,Dubai International Airport,MEL-DXB,Active,D-A7710,7.0,37.0,275.0,319.0,230,230,702,19,72.1
910,2025-06-16,Monday,False,June,Q2,2025,Star Air,XX,MEL,Melbourne Airport (MEL),DXB,Dubai International Airport,MEL-DXB,Active,D-A4924,15.0,29.0,294.0,338.0,230,230,702,19,68.05
846,2025-04-03,Thursday,False,April,Q2,2025,Star Air,XX,MIL,Milan–Malpensa Airport,DXB,Dubai International Airport,MIL-DXB,,,,,,,200,200,200,25,
640,2025-04-03,Thursday,False,April,Q2,2025,Star Air,XX,SIN,Singapore Changi Airport (SIN),DXB,Dubai International Airport,SIN-DXB,,,,,,,228,228,228,25,
833,2025-04-19,Saturday,True,April,Q2,2025,Star Air,XX,ORD,O'Hare International Airport (ORD),DXB,Dubai International Airport,ORD-DXB,Active,VT7554,11.0,36.0,292.0,339.0,246,246,246,19,72.57
811,2025-09-27,Saturday,True,September,Q3,2025,Star Air,XX,BNE,Brisbane Airport (BNE),DXB,Dubai International Airport,BNE-DXB,,,,,,,256,256,256,24,
343,2025-04-03,Thursday,False,April,Q2,2025,Star Air,XX,SYD,Sydney Kingsford Smith Airport (SYD),DXB,Dubai International Airport,SYD-DXB,,,,,,,252,252,252,25,
277,2025-06-16,Monday,False,June,Q2,2025,Star Air,XX,PEW,Bacha Khan International Airport,DXB,Dubai International Airport,PEW-DXB,,,,,,,228,228,228,19,
709,2025-06-16,Monday,False,June,Q2,2025,Star Air,XX,SIN,Singapore Changi Airport (SIN),DXB,Dubai International Airport,SIN-DXB,Active,A68690,16.0,32.0,296.0,344.0,243,243,243,19,70.64
559,2025-09-06,Saturday,True,September,Q3,2025,Star Air,XX,DXB,Dubai International Airport,LHE,Allama Iqbal International Airport,DXB-LHE,Active,C-F8992,8.0,25.0,295.0,328.0,243,243,493,17,74.09
625,2025-08-26,Tuesday,False,August,Q3,2025,Star Air,XX,DXB,Dubai International Airport,BKK,Suvarnabhumi Airport,DXB-BKK,,,,,,,236,236,236,17,
181,2025-08-26,Tuesday,False,August,Q3,2025,Star Air,XX,DXB,Dubai International Airport,ZRH,Zurich Airport (ZRH),DXB-ZRH,,,,,,,229,229,229,17,
161,2025-04-19,Saturday,True,April,Q2,2025,Star Air,XX,SYD,Sydney Kingsford Smith Airport (SYD),DXB,Dubai International Airport,SYD-DXB,Active,C-F7998,10.0,38.0,295.0,343.0,237,237,237,19,69.1
944,2025-09-27,Saturday,True,September,Q3,2025,Star Air,XX,MIL,Milan–Malpensa Airport,DXB,Dubai International Airport,MIL-DXB,Active,A68242,16.0,40.0,295.0,351.0,195,195,681,24,55.56
225,2025-09-06,Saturday,True,September,Q3,2025,Star Air,XX,DXB,Dubai International Airport,DFW,Dallas/Fort Worth International Airport (DFW,DXB-DFW,,,,,,,237,237,237,17,
912,2025-09-22,Monday,False,September,Q3,2025,Star Air,XX,COK,Cochin International Airport,DXB,Dubai International Airport,COK-DXB,,,,,,,255,255,255,14,
137,2025-07-25,Friday,False,July,Q3,2025,Star Air,XX,DXB,Dubai International Airport,SYD,Sydney Kingsford Smith Airport (SYD),DXB-SYD,Active,C-F4925,8.0,25.0,287.0,320.0,249,249,249,22,77.81
680,2025-08-26,Tuesday,False,August,Q3,2025,Star Air,XX,YUL,Montréal–Trudeau International Airport,DXB,Dubai International Airport,YUL-DXB,,,,,,,242,242,481,17,
819,2025-09-27,Saturday,True,September,Q3,2025,Star Air,XX,BOM,Chhatrapati Shivaji Maharaj International Airport,DXB,Dubai International Airport,BOM-DXB,Active,9V8060,6.0,30.0,290.0,326.0,249,249,249,24,76.38
819,2025-08-16,Saturday,True,August,Q3,2025,Star Air,XX,BOM,Chhatrapati Shivaji Maharaj International Airport,DXB,Dubai International Airport,BOM-DXB,Active,9V8060,6.0,30.0,290.0,326.0,254,254,254,17,77.91
876,2025-09-06,Saturday,True,September,Q3,2025,Star Air,XX,BNE,Brisbane Airport (BNE),DXB,Dubai International Airport,BNE-DXB,Active,A69973,6.0,29.0,299.0,334.0,237,237,474,17,70.96
680,2025-07-25,Friday,False,July,Q3,2025,Star Air,XX,DXB,Dubai International Airport,YUL,Montréal–Trudeau International Airport,DXB-YUL,Active,9V5865,15.0,32.0,292.0,339.0,252,252,252,22,74.34
912,2025-07-07,Monday,False,July,Q3,2025,Star Air,XX,COK,Cochin International Airport,DXB,Dubai International Airport,COK-DXB,,,,,,,241,241,241,15,
231,2025-07-25,Friday,False,July,Q3,2025,Star Air,XX,DXB,Dubai International Airport,MEL,Melbourne Airport (MEL),DXB-MEL,,,,,,,237,237,237,22,
181,2025-07-25,Friday,False,July,Q3,2025,Star Air,XX,ZRH,Zurich Airport (ZRH),DXB,Dubai International Airport,ZRH-DXB,Active,VT3026,11.0,38.0,292.0,341.0,254,254,254,22,74.49
625,2025-07-25,Friday,False,July,Q3,2025,Star Air,XX,BKK,Suvarnabhumi Airport,DXB,Dubai International Airport,BKK-DXB,Active,9V6473,12.0,21.0,293.0,326.0,238,238,238,22,73.01
231,2025-07-07,Monday,False,July,Q3,2025,Star Air,XX,MEL,Melbourne Airport (MEL),DXB,Dubai International Airport,MEL-DXB,Active,D-A7710,7.0,37.0,275.0,319.0,253,253,253,15,79.31
231,2025-09-22,Monday,False,September,Q3,2025,Star Air,XX,MEL,Melbourne Airport (MEL),DXB,Dubai International Airport,MEL-DXB,Active,D-A7710,7.0,37.0,275.0,319.0,239,239,239,14,74.92
658,2025-09-27,Saturday,True,September,Q3,2025,Star Air,XX,DXB,Dubai International Airport,CHC,Christchurch Airport,DXB-CHC,Active,VT2581,14.0,37.0,295.0,346.0,251,251,251,24,72.54
653,2025-09-22,Monday,False,September,Q3,2025,Star Air,XX,SVO,Sheremetyevo International Airport,DXB,Dubai International Airport,SVO-DXB,,,,,,,266,266,266,14,
384,2025-06-16,Monday,False,June,Q2,2025,Star Air,XX,YUL,Montréal–Trudeau International Airport,DXB,Dubai International Airport,YUL-DXB,,,,,,,218,218,218,19,
811,2025-09-06,Saturday,True,September,Q3,2025,Star Air,XX,BNE,Brisbane Airport (BNE),DXB,Dubai International Airport,BNE-DXB,,,,,,,237,237,474,17,
307,2025-07-07,Monday,False,July,Q3,2025,Star Air,XX,BNE,Brisbane Airport (BNE),DXB,Dubai International Airport,BNE-DXB,Active,9V3296,13.0,22.0,299.0,334.0,241,241,241,15,72.16
767,2025-07-07,Monday,False,July,Q3,2025,Star Air,XX,CCU,Netaji Subhas Chandra Bose International Airport,DXB,Dubai International Airport,CCU-DXB,,,,,,,258,258,258,15,
420,2025-07-07,Monday,False,July,Q3,2025,Star Air,XX,CMB,Bandaranaike International Airport (CMB),DXB,Dubai International Airport,CMB-DXB,Active,D-A9861,8.0,24.0,292.0,324.0,258,258,258,15,79.63
420,2025-09-22,Monday,False,September,Q3,2025,Star Air,XX,CMB,Bandaranaike International Airport (CMB),DXB,Dubai International Airport,CMB-DXB,Active,D-A9861,8.0,24.0,292.0,324.0,238,238,238,14,73.46
608,2025-08-26,Tuesday,False,August,Q3,2025,Star Air,XX,KUL,Kuala Lumpur International Airport,DXB,Dubai International Airport,KUL-DXB,Active,9V1050,13.0,21.0,299.0,333.0,258,258,258,17,77.48
348,2025-09-22,Monday,False,September,Q3,2025,Star Air,XX,BNE,Brisbane Airport (BNE),DXB,Dubai International Airport,BNE-DXB,Active,9V6960,9.0,26.0,296.0,331.0,247,247,501,14,74.62
307,2025-09-22,Monday,False,September,Q3,2025,Star Air,XX,BNE,Brisbane Airport (BNE),DXB,Dubai International Airport,BNE-DXB,Active,9V3296,13.0,22.0,299.0,334.0,254,254,501,14,76.05
235,2025-08-16,Saturday,True,August,Q3,2025,Star Air,XX,BNE,Brisbane Airport (BNE),DXB,Dubai International Airport,BNE-DXB,Active,A64657,16.0,34.0,295.0,345.0,240,240,240,17,69.57
603,2025-07-25,Friday,False,July,Q3,2025,Star Air,XX,BNE,Brisbane Airport (BNE),DXB,Dubai International Airport,BNE-DXB,Active,VT6678,7.0,25.0,297.0,329.0,253,253,500,22,76.9
760,2025-07-25,Friday,False,July,Q3,2025,Star Air,XX,BNE,Brisbane Airport (BNE),DXB,Dubai International Airport,BNE-DXB,Active,C-F5208,7.0,22.0,293.0,322.0,247,247,500,22,76.71
385,2025-08-26,Tuesday,False,August,Q3,2025,Star Air,XX,CPT,Cape Town International Airport,DXB,Dubai International Airport,CPT-DXB,,,,,,,263,263,263,17,
225,2025-08-26,Tuesday,False,August,Q3,2025,Star Air,XX,DFW,Dallas/Fort Worth International Airport (DFW,DXB,Dubai International Airport,DFW-DXB,Active,A64597,9.0,40.0,297.0,346.0,231,231,231,17,66.76
130,2025-09-06,Saturday,True,September,Q3,2025,Star Air,XX,DXB,Dubai International Airport,BNE,Brisbane Airport (BNE),DXB-BNE,Active,A68913,6.0,28.0,292.0,326.0,249,249,249,17,76.38
962,2025-09-06,Saturday,True,September,Q3,2025,Star Air,XX,GVA,Geneva Airport (GVA),DXB,Dubai International Airport,GVA-DXB,Active,D-A9830,14.0,30.0,294.0,338.0,204,204,204,17,60.36
233,2025-07-07,Monday,False,July,Q3,2025,Star Air,XX,DXB,Dubai International Airport,BNE,Brisbane Airport (BNE),DXB-BNE,,,,,,,244,244,244,15,
172,2025-08-16,Saturday,True,August,Q3,2025,Star Air,XX,DEL,Indira Gandhi International Airport,DXB,Dubai International Airport,DEL-DXB,,,,,,,245,245,245,17,
701,2025-09-27,Saturday,True,September,Q3,2025,Star Air,XX,DXB,Dubai International Airport,BKK,Suvarnabhumi Airport,DXB-BKK,,,,,,,247,247,247,24,
701,2025-09-06,Saturday,True,September,Q3,2025,Star Air,XX,DXB,Dubai International Airport,BKK,Suvarnabhumi Airport,DXB-BKK,,,,,,,253,253,253,17,
970,2025-07-07,Monday,False,July,Q3,2025,Star Air,XX,DXB,Dubai International Airport,BKK,Suvarnabhumi Airport,DXB-BKK,,,,,,,247,247,247,15,
694,2025-08-26,Tuesday,False,August,Q3,2025,Star Air,XX,DEL,Indira Gandhi International Airport,DXB,Dubai International Airport,DEL-DXB,,,,,,,249,249,249,17,
172,2025-09-27,Saturday,True,September,Q3,2025,Star Air,XX,DEL,Indira Gandhi International Airport,DXB,Dubai International Airport,DEL-DXB,,,,,,,259,259,259,24,
883,2025-09-22,Monday,False,September,Q3,2025,Star Air,XX,DXB,Dubai International Airport,BNE,Brisbane Airport (BNE),DXB-BNE,,,,,,,247,247,247,14,
307,2025-07-25,Friday,False,July,Q3,2025,Star Air,XX,DXB,Dubai International Airport,BNE,Brisbane Airport (BNE),DXB-BNE,,,,,,,261,261,503,22,
348,2025-07-25,Friday,False,July,Q3,2025,Star Air,XX,DXB,Dubai International Airport,BNE,Brisbane Airport (BNE),DXB-BNE,,,,,,,242,242,503,22,
603,2025-08-26,Tuesday,False,August,Q3,2025,Star Air,XX,DXB,Dubai International Airport,BNE,Brisbane Airport (BNE),DXB-BNE,,,,,,,239,239,487,17,
311,2025-08-26,Tuesday,False,August,Q3,2025,Star Air,XX,DXB,Dubai International Airport,BNE,Brisbane Airport (BNE),DXB-BNE,,,,,,,248,248,487,17,
130,2025-09-27,Saturday,True,September,Q3,2025,Star Air,XX,DXB,Dubai International Airport,BNE,Brisbane Airport (BNE),DXB-BNE,Active,A68913,6.0,28.0,292.0,326.0,240,240,240,24,73.62
608,2025-08-16,Saturday,True,August,Q3,2025,Star Air,XX,DXB,Dubai International Airport,KUL,Kuala Lumpur International Airport,DXB-KUL,,,,,,,240,240,240,17,
130,2025-08-16,Saturday,True,August,Q3,2025,Star Air,XX,DXB,Dubai International Airport,BNE,Brisbane Airport (BNE),DXB-BNE,Active,A68913,6.0,28.0,292.0,326.0,252,252,252,17,77.3
818,2025-07-25,Friday,False,July,Q3,2025,Star Air,XX,DXB,Dubai International Airport,CCU,Netaji Subhas Chandra Bose International Airport,DXB-CCU,,,,,,,244,244,244,22,
445,2025-09-27,Saturday,True,September,Q3,2025,Star Air,XX,DXB,Dubai International Airport,COK,Cochin International Airport,DXB-COK,,,,,,,247,247,247,24,
