Route,Carrier_Name,Carrier_Code,month_num,month_name,quarter_label,year,Total_Tickets_Sold,Revenue_AED,Net_Revenue_AED,Total_Commission_AED,Total_Discount_AED,Total_Tax_AED,Avg_Fare_AED,Revenue_Rank
JFK-DXB,Star Air,XX,7,July,Q3,2024,102,371664.617987,342974.1301433,22299.87707922,6390.610765,33697.03728115,3643.77,42
DXB-MAA,Star Air,XX,7,July,Q3,2024,408,336376.0,310933.44,20182.56,5260.0,37001.03,824.45,43
DXB-GVA,Star Air,XX,7,July,Q3,2024,164,331975.0,307416.5,19918.5,4640.0,36517.19,2024.24,44
FRA-DXB,Star Air,XX,7,July,Q3,2024,139,320853.502465,297540.4524465,19251.2101479,4061.83987,32085.17238665,2308.3,45
DXB-CHC,Star Air,XX,7,July,Q3,2024,337,311193.0,288405.42,18671.58,4116.0,48401.73,923.42,46
DXB-ZRH,Star Air,XX,7,July,Q3,2024,114,302419.0,277831.86,18145.14,6442.0,27218.05,2652.8,47
GVA-DXB,Star Air,XX,7,July,Q3,2024,142,282726.851724,261778.7773835,16963.61110344,3984.463236,37841.98633684,1991.03,48
CDG-DXB,Star Air,XX,7,July,Q3,2024,103,240758.57307,222346.3726559,14445.5143842,3966.686031,20915.26097869,2337.46,49
DXB-FRA,Star Air,XX,7,July,Q3,2024,97,229512.0,213113.28,13770.72,2628.0,22951.55,2366.1,50
DXB-DUB,Star Air,XX,7,July,Q3,2024,50,218401.0,202676.94,13104.06,2620.0,39311.9,4368.02,51
SIN-MEL,Star Air,XX,7,July,Q3,2024,57,210481.926664,194964.8171589,12628.91559984,2888.193906,89305.0809896,3692.67,52
DXB-KHI,Star Air,XX,7,July,Q3,2024,231,209923.0,194577.62,12595.38,2750.0,22194.88,908.76,53
KHI-DXB,Star Air,XX,7,July,Q3,2024,200,167279.550665,154670.9868272,10036.7730399,2571.790798,17337.34537763,836.4,54
DXB-CMB,Star Air,XX,7,July,Q3,2024,146,138115.0,127985.1,8286.9,1843.0,8286.66,945.99,55
DXB-BOM,Star Air,XX,7,July,Q3,2024,174,137177.0,127445.38,8230.62,1501.0,15089.18,788.37,56
DEL-DXB,Star Air,XX,7,July,Q3,2024,171,135203.137011,124344.6958977,8112.18822066,2746.252892,14872.38347758,790.66,57
DXB-HYD,Star Air,XX,7,July,Q3,2024,142,131825.0,122414.5,7909.5,1501.0,6591.27,928.35,58
DXB-AKL,Star Air,XX,7,July,Q3,2024,56,131556.0,122283.64,7893.36,1379.0,19243.92,2349.21,59
DXB-HAN,Star Air,XX,7,July,Q3,2024,76,125039.0,114387.66,7502.34,3149.0,20006.35,1645.25,60
BOM-DXB,Star Air,XX,7,July,Q3,2024,143,123057.919697,114277.6574458,7383.47518182,1396.787069,11802.97873708,860.54,61
MAA-DXB,Star Air,XX,7,July,Q3,2024,156,120853.717573,112173.3218208,7251.22305438,1429.172698,13293.7824954,774.7,62
LGW-DXB,Star Air,XX,7,July,Q3,2024,141,109715.284882,100780.3006366,6582.91709292,2352.067152,14548.6199706,778.12,63
JNB-DXB,Star Air,XX,7,July,Q3,2024,107,99017.537103,91425.0304836,5941.05222618,1651.454393,12392.89167565,925.4,64
JFK-MIL,Star Air,XX,7,July,Q3,2024,127,96525.904707,89637.3600653,5791.55428242,1096.99036,13464.27059326,760.05,65
KUL-DXB,Star Air,XX,7,July,Q3,2024,98,91917.491241,85700.5628634,5515.04947446,701.878903,12452.66697621,937.93,66
DXB-DEL,Star Air,XX,7,July,Q3,2024,101,90019.0,83472.86,5401.14,1145.0,9902.23,891.28,67
DXB-PEW,Star Air,XX,7,July,Q3,2024,77,88592.0,82184.48,5315.52,1092.0,5676.15,1150.55,68
BHX-DXB,Star Air,XX,7,July,Q3,2024,112,87257.457731,80470.76153,5235.44746386,1551.248736,11519.17913884,779.08,69
DXB-JNB,Star Air,XX,7,July,Q3,2024,109,85906.0,80040.64,5154.36,711.0,5154.62,788.13,70
DXB-ADD,Star Air,XX,7,July,Q3,2024,91,77876.0,72097.44,4672.56,1106.0,4672.64,855.78,71
DXB-BHX,Star Air,XX,7,July,Q3,2024,95,72841.0,66981.54,4370.46,1489.0,7284.28,766.75,72
DXB-MUC,Star Air,XX,7,July,Q3,2024,77,72030.0,66964.2,4321.8,744.0,7202.82,935.45,73
DXB-LGW,Star Air,XX,7,July,Q3,2024,72,53618.0,49880.92,3217.08,520.0,3216.75,744.69,74
HYD-DXB,Star Air,XX,7,July,Q3,2024,63,48729.233826,44480.8771496,2923.75402956,1324.602647,2436.46724717,773.48,75
HAN-DXB,Star Air,XX,7,July,Q3,2024,36,48336.054399,45303.107721,2900.16326394,132.783414,7733.76871631,1342.67,76
DXB-KUL,Star Air,XX,7,July,Q3,2024,48,44001.0,40921.94,2640.06,439.0,2640.11,916.69,77
DXB-SVO,Star Air,XX,7,July,Q3,2024,31,41359.0,38129.46,2481.54,748.0,3722.38,1334.16,78
MIL-JFK,Star Air,XX,7,July,Q3,2024,51,38892.083658,36169.8780519,2333.52501948,388.680587,5211.84439194,762.59,79
MUC-DXB,Star Air,XX,7,July,Q3,2024,43,37986.965384,35324.8746994,2279.21792304,382.872762,5322.78688957,883.42,80
SVO-DXB,Star Air,XX,7,July,Q3,2024,25,36532.59688,33692.7989895,2191.9558128,647.842078,3287.93105381,1461.3,81
KUL-SYD,Star Air,XX,7,July,Q3,2024,3,10497.873063,9868.0006792,629.87238378,0.0,1627.70741066,3499.29,82
HAN-BKK,Star Air,XX,7,July,Q3,2024,1,422.739588,397.3752127,25.36437528,0.0,59.18355066,422.74,83
DXB-MEL,Star Air,XX,8,August,Q3,2024,4359,15844731.0,14665904.14,950683.86,228143.0,2971325.77,3634.95,1
MEL-DXB,Star Air,XX,8,August,Q3,2024,3852,13539991.053206,12520061.9298783,812399.46319236,207529.660125,2506374.94175668,3515.05,2
DXB-BNE,Star Air,XX,8,August,Q3,2024,8027,13512799.0,12514396.06,810767.94,187635.0,2448789.83,1683.42,3
BNE-DXB,Star Air,XX,8,August,Q3,2024,7329,12032122.575262,11141001.4488367,721927.35451572,169193.77196,2198905.56861732,1641.71,4
DXB-SYD,Star Air,XX,8,August,Q3,2024,4608,10485845.0,9700609.3,629150.7,156085.0,1950185.94,2275.57,5
SYD-DXB,Star Air,XX,8,August,Q3,2024,4655,10162329.554091,9391740.5950337,609739.77324546,160849.185825,1867130.73985483,2183.1,6
DXB-YUL,Star Air,XX,8,August,Q3,2024,9383,8094515.0,7485179.1,485670.9,123665.0,808628.28,862.68,7
DXB-ORD,Star Air,XX,8,August,Q3,2024,2448,7860081.0,7272109.14,471604.86,116367.0,859234.63,3210.82,8
YUL-DXB,Star Air,XX,8,August,Q3,2024,8792,7438940.767902,6881594.3635715,446336.44607412,111009.958132,754512.76082523,846.1,9
DXB-BKK,Star Air,XX,8,August,Q3,2024,2962,5503226.0,5090792.44,330193.56,82240.0,1074267.19,1857.94,10
BKK-DXB,Star Air,XX,8,August,Q3,2024,2840,5332134.106256,4927269.8117646,319928.04637536,84936.248118,1053300.52893759,1877.51,11
ORD-DXB,Star Air,XX,8,August,Q3,2024,1486,4734159.198533,4386724.7590407,284049.55191198,63384.887593,520069.81960872,3185.84,12
DXB-DFW,Star Air,XX,8,August,Q3,2024,1173,4619461.0,4266379.34,277167.66,75914.0,463407.94,3938.16,13
DXB-SIN,Star Air,XX,8,August,Q3,2024,3533,4244010.0,3925381.4,254640.6,63988.0,492754.84,1201.25,14
JFK-DXB,Star Air,XX,8,August,Q3,2024,1032,4095390.762858,3794223.3583718,245723.44577148,55443.958708,403205.18330266,3968.4,15
IAH-DXB,Star Air,XX,8,August,Q3,2024,1255,4043750.439251,3743284.4134905,242625.02635506,57840.999416,405982.45321756,3222.11,16
SIN-DXB,Star Air,XX,8,August,Q3,2024,3251,4019953.598393,3721385.6442585,241197.21590358,57370.738269,473328.21298453,1236.53,17
DXB-IAH,Star Air,XX,8,August,Q3,2024,1300,3925371.0,3630428.74,235522.26,59420.0,386310.07,3019.52,18
DFW-DXB,Star Air,XX,8,August,Q3,2024,965,3864603.066046,3580211.9719992,231876.18396276,52514.910102,395657.88542455,4004.77,19
DXB-CCU,Star Air,XX,8,August,Q3,2024,3543,3380465.0,3127898.1,202827.9,49739.0,277468.06,954.13,20
CPT-DXB,Star Air,XX,8,August,Q3,2024,1589,3293409.577401,3045652.5711688,197604.57464406,50152.431589,324227.89642398,2072.63,21
MIL-DXB,Star Air,XX,8,August,Q3,2024,2646,3143339.690298,2905284.9117371,188600.38141788,49454.397165,277066.30604862,1187.96,22
COK-DXB,Star Air,XX,8,August,Q3,2024,3777,3095789.191355,2865381.8587777,185747.3514813,44659.981098,299897.22301752,819.64,23
DXB-CPT,Star Air,XX,8,August,Q3,2024,1482,3067137.0,2833627.78,184028.22,49481.0,315598.87,2069.59,24
DXB-MIL,Star Air,XX,8,August,Q3,2024,2571,2998118.0,2772100.92,179887.08,46130.0,264341.96,1166.13,25
LHE-DXB,Star Air,XX,8,August,Q3,2024,3343,2884765.084895,2670714.5076899,173085.9050937,40964.672109,264441.6524356,862.93,26
DXB-COK,Star Air,XX,8,August,Q3,2024,3512,2835664.0,2622199.16,170139.84,43325.0,277965.3,807.42,27
YYZ-DXB,Star Air,XX,8,August,Q3,2024,753,2822751.439272,2613191.5863932,169365.08635632,40194.766521,310512.25142694,3748.67,28
MRU-DXB,Star Air,XX,8,August,Q3,2024,1525,2766677.418842,2559371.8757555,166000.64513052,41304.897957,233932.3667494,1814.21,29
CCU-DXB,Star Air,XX,8,August,Q3,2024,2791,2669631.094168,2469252.7172269,160177.86565008,40200.511293,220260.16725473,956.51,30
DXB-MRU,Star Air,XX,8,August,Q3,2024,1270,2413973.0,2234752.62,144838.38,34382.0,192371.86,1900.77,31
DXB-JFK,Star Air,XX,8,August,Q3,2024,627,2345519.0,2166329.86,140731.14,38458.0,242066.07,3740.86,32
DXB-LHR,Star Air,XX,8,August,Q3,2024,1549,2344530.0,2169287.2,140671.8,34571.0,160804.42,1513.58,33
DXB-LHE,Star Air,XX,8,August,Q3,2024,2725,2344344.0,2170057.36,140660.64,33626.0,216039.87,860.31,34
DXB-CDG,Star Air,XX,8,August,Q3,2024,851,2197669.0,2031217.86,131860.14,34591.0,204259.36,2582.45,35
LHR-DXB,Star Air,XX,8,August,Q3,2024,1391,2134046.988869,1970300.9339991,128042.81933214,35703.23554,154073.98750391,1534.18,36
DXB-YYZ,Star Air,XX,8,August,Q3,2024,533,2119383.0,1949260.02,127162.98,42960.0,233131.19,3976.33,37
ZRH-DXB,Star Air,XX,8,August,Q3,2024,698,1955288.756386,1808322.799903,117317.32538316,29648.631104,154158.76648128,2801.27,38
DXB-ZRH,Star Air,XX,8,August,Q3,2024,640,1663722.0,1538665.68,99823.32,25233.0,132158.71,2599.57,39
CHC-DXB,Star Air,XX,8,August,Q3,2024,1653,1569825.589204,1453070.4460596,94189.53535224,22565.607789,248488.9408588,949.68,40
MEL-SIN,Star Air,XX,8,August,Q3,2024,425,1513947.570199,1404537.8367649,90836.85421194,18572.879222,272508.47915287,3562.23,41
PEW-DXB,Star Air,XX,8,August,Q3,2024,1148,1466146.134116,1356131.3586617,87968.76804696,22046.007407,103746.75131393,1277.13,42
DXB-MAA,Star Air,XX,8,August,Q3,2024,1765,1435043.0,1327085.42,86102.58,21855.0,157852.23,813.06,43
DXB-AKL,Star Air,XX,8,August,Q3,2024,621,1319831.0,1220993.14,79189.86,19648.0,208315.2,2125.33,44
SIN-MEL,Star Air,XX,8,August,Q3,2024,355,1288813.865948,1190800.9707114,77328.83195688,20684.063277,531785.43029471,3630.46,45
CDG-DXB,Star Air,XX,8,August,Q3,2024,506,1273461.537841,1176568.4351134,76407.69227046,20485.410456,115672.42611101,2516.72,46
DXB-CHC,Star Air,XX,8,August,Q3,2024,1329,1269261.0,1173576.34,76155.66,19529.0,197964.72,955.05,47
GVA-DXB,Star Air,XX,8,August,Q3,2024,534,1127967.261912,1040265.8466928,67678.03571472,20023.3795,152847.58633283,2112.3,48
AKL-DXB,Star Air,XX,8,August,Q3,2024,521,1116862.28398,1035231.1187774,67011.7370388,14619.428162,166177.64659724,2143.69,49
MAA-DXB,Star Air,XX,8,August,Q3,2024,1331,1088161.079336,1006548.4005818,65289.66476016,16323.013993,119696.55431684,817.55,50
DXB-DUB,Star Air,XX,8,August,Q3,2024,300,1067991.0,989162.54,64079.46,14749.0,192240.02,3559.97,51
DUB-DXB,Star Air,XX,8,August,Q3,2024,292,1022312.58108,944879.418922,61338.7548648,16094.407295,298439.0593009,3501.07,52
FRA-DXB,Star Air,XX,8,August,Q3,2024,388,976843.083207,903813.7195401,58610.58499242,14418.778675,97679.9906986,2517.64,53
DXB-HAN,Star Air,XX,8,August,Q3,2024,609,910210.0,841977.4,54612.6,13620.0,145635.09,1494.6,54
KHI-DXB,Star Air,XX,8,August,Q3,2024,933,868563.303166,804927.1078808,52113.79818996,11522.397093,91615.86196509,930.94,55
DXB-PEW,Star Air,XX,8,August,Q3,2024,670,815862.0,754677.28,48951.72,12233.0,53982.42,1217.7,56
DXB-FRA,Star Air,XX,8,August,Q3,2024,320,815334.0,747609.96,48920.04,18804.0,81533.59,2547.92,57
BOM-DXB,Star Air,XX,8,August,Q3,2024,895,733144.982406,678090.0055578,43988.69894436,11066.277903,73069.77033838,819.16,58
DXB-GVA,Star Air,XX,8,August,Q3,2024,355,711041.0,654873.54,42662.46,13505.0,78213.63,2002.93,59
DXB-KHI,Star Air,XX,8,August,Q3,2024,743,695760.0,643645.4,41745.6,10369.0,73854.61,936.42,60
DXB-DEL,Star Air,XX,8,August,Q3,2024,703,617571.0,569625.74,37054.26,10891.0,67931.82,878.48,61
DXB-BOM,Star Air,XX,8,August,Q3,2024,660,562153.0,520239.82,33729.18,8184.0,59791.76,851.75,62
JNB-DXB,Star Air,XX,8,August,Q3,2024,511,487915.277174,448916.2672071,29274.91663044,9724.093337,65950.59777807,954.82,63
DEL-DXB,Star Air,XX,8,August,Q3,2024,586,486368.504347,450120.1814933,29182.11026082,7066.212592,53500.67518382,829.98,64
DXB-HYD,Star Air,XX,8,August,Q3,2024,542,480059.0,443778.46,28803.54,7477.0,24003.1,885.72,65
HAN-DXB,Star Air,XX,8,August,Q3,2024,315,476343.326916,440366.8675899,28580.59961496,7395.859711,76214.9321738,1512.2,66
DXB-SVO,Star Air,XX,8,August,Q3,2024,317,431476.0,400597.44,25888.56,4990.0,38832.66,1361.12,67
KUL-DXB,Star Air,XX,8,August,Q3,2024,434,395965.696808,366954.2877246,23757.94180848,5253.467275,53997.04845808,912.36,68
DXB-CMB,Star Air,XX,8,August,Q3,2024,369,347642.0,321320.48,20858.52,5463.0,20858.23,942.12,69
DXB-JNB,Star Air,XX,8,August,Q3,2024,333,310590.0,286675.6,18635.4,5279.0,18635.78,932.7,70
BHX-DXB,Star Air,XX,8,August,Q3,2024,361,284058.822901,263106.2999419,17043.52937406,3908.993584,37954.54941588,786.87,71
MUC-DXB,Star Air,XX,8,August,Q3,2024,350,281339.920338,260752.6557481,16880.39522028,3706.869369,38164.39458574,803.83,72
LGW-DXB,Star Air,XX,8,August,Q3,2024,342,273944.062162,253036.0796579,16436.64372972,4471.338773,37074.15453232,801.01,73
DXB-MUC,Star Air,XX,8,August,Q3,2024,320,261390.0,242281.6,15683.4,3425.0,26138.78,816.84,74
JFK-MIL,Star Air,XX,8,August,Q3,2024,306,251352.070876,232248.0990611,15081.12425256,4022.84756,34073.08663491,821.41,75
MIL-JFK,Star Air,XX,8,August,Q3,2024,312,249046.475542,230505.905735,14942.78853252,3597.781271,34075.65322436,798.23,76
DXB-BHX,Star Air,XX,8,August,Q3,2024,288,237557.0,219828.58,14253.42,3475.0,23756.1,824.85,77
DXB-ADD,Star Air,XX,8,August,Q3,2024,274,226234.0,210084.96,13574.04,2575.0,13574.09,825.67,78
DXB-LGW,Star Air,XX,8,August,Q3,2024,278,216465.0,199990.1,12987.9,3487.0,12987.82,778.65,79
DXB-KUL,Star Air,XX,8,August,Q3,2024,220,208822.0,193135.68,12529.32,3157.0,12529.0,949.19,80
KUL-SYD,Star Air,XX,8,August,Q3,2024,229,207560.111541,192080.7192355,12453.60669246,3025.785613,32182.91331179,906.38,81
ADD-DXB,Star Air,XX,8,August,Q3,2024,176,168947.72619,157076.3141086,10136.8635714,1734.54851,22296.9579506,959.93,82
SVO-DXB,Star Air,XX,8,August,Q3,2024,98,125731.866398,116437.1761944,7543.91198388,1750.77822,11315.86445932,1282.98,83
HYD-DXB,Star Air,XX,8,August,Q3,2024,131,114493.144909,105521.4173396,6869.58869454,2102.138875,5724.66823111,873.99,84
CMB-DXB,Star Air,XX,8,August,Q3,2024,43,41337.234836,38217.297426,2480.23409016,639.70332,711.88233024,961.33,85
SYD-KUL,Star Air,XX,8,August,Q3,2024,43,37893.54366,35027.5102882,2273.6126196,592.420752,8570.83984995,881.25,86
HAN-BKK,Star Air,XX,8,August,Q3,2024,1,439.19137,368.9206928,26.3514822,43.919195,61.4868005,439.19,87
DXB-MEL,Star Air,XX,9,September,Q3,2024,10440,38035054.0,35203941.76,2282103.24,549009.0,7107174.88,3643.2,1
BNE-DXB,Star Air,XX,9,September,Q3,2024,16018,27152021.43422,25123759.2898354,1629121.2860532,399140.858389,4934924.15369047,1695.09,2
MEL-DXB,Star Air,XX,9,September,Q3,2024,7286,26561143.034507,24578781.6031227,1593668.58207042,388692.849317,4939257.32541618,3645.5,3
DXB-BNE,Star Air,XX,9,September,Q3,2024,15237,25497743.0,23582600.42,1529864.58,385278.0,4627955.61,1673.41,4
DXB-SYD,Star Air,XX,9,September,Q3,2024,10459,23647901.0,21876102.94,1418874.06,352924.0,4396284.25,2261.01,5
SYD-DXB,Star Air,XX,9,September,Q3,2024,10333,23371083.958073,21619905.9418917,1402265.03748438,348912.97869,4281267.00548866,2261.79,6
DXB-YUL,Star Air,XX,9,September,Q3,2024,19722,16801848.0,15543889.12,1008110.88,249848.0,1677076.88,851.93,7
DXB-ORD,Star Air,XX,9,September,Q3,2024,5129,16382296.0,15150743.24,982937.76,248615.0,1797064.14,3194.05,8
YUL-DXB,Star Air,XX,9,September,Q3,2024,18745,16138220.870324,14931714.8522089,968293.25221944,238212.765996,1608661.66450493,860.93,9
BKK-DXB,Star Air,XX,9,September,Q3,2024,6752,12806053.673752,11853506.1310453,768363.22042512,184184.322282,2551723.69458773,1896.63,10
DXB-BKK,Star Air,XX,9,September,Q3,2024,6759,12709793.0,11765429.42,762587.58,181776.0,2551468.98,1880.43,11
ORD-DXB,Star Air,XX,9,September,Q3,2024,3878,12042586.492386,11140133.6816735,722555.18954316,179897.621151,1323445.27708264,3105.36,12
DXB-IAH,Star Air,XX,9,September,Q3,2024,3073,10044865.0,9283189.1,602691.9,158984.0,1002422.96,3268.75,13
IAH-DXB,Star Air,XX,9,September,Q3,2024,2999,9129411.779561,8448898.6015205,547764.70677366,132748.471257,916916.05577931,3044.15,14
SIN-DXB,Star Air,XX,9,September,Q3,2024,7075,8919574.258591,8246247.8669121,535174.45551546,138151.936126,1043818.75601193,1260.72,15
JFK-DXB,Star Air,XX,9,September,Q3,2024,2313,8647040.456298,7989028.4365175,518822.42737788,139189.592425,852924.21594213,3738.45,16
DXB-SIN,Star Air,XX,9,September,Q3,2024,6771,8401866.0,7774344.04,504111.96,123410.0,980713.33,1240.86,17
DXB-CPT,Star Air,XX,9,September,Q3,2024,3827,7938318.0,7334956.92,476299.08,127062.0,803965.46,2074.29,18
DXB-JFK,Star Air,XX,9,September,Q3,2024,1977,7547310.0,6971833.4,452838.6,122638.0,758787.72,3817.56,19
MIL-DXB,Star Air,XX,9,September,Q3,2024,5745,7313115.9641,6773210.2467775,438786.957846,101118.759449,652009.64595554,1272.95,20
CPT-DXB,Star Air,XX,9,September,Q3,2024,3425,7230811.567291,6684363.6885472,433848.69403746,112599.184706,715893.29104386,2111.19,21
DXB-CCU,Star Air,XX,9,September,Q3,2024,7322,7029503.0,6504857.82,421770.18,102875.0,572576.58,960.05,22
COK-DXB,Star Air,XX,9,September,Q3,2024,8353,6976628.602616,6449096.4300834,418597.71615696,108934.456372,670721.75978044,835.22,23
DXB-DFW,Star Air,XX,9,September,Q3,2024,1770,6956003.0,6434579.82,417360.18,104063.0,699406.29,3929.95,24
DFW-DXB,Star Air,XX,9,September,Q3,2024,1813,6829410.455179,6308010.3927722,409764.62731074,111635.435128,679939.08210438,3766.91,25
LHE-DXB,Star Air,XX,9,September,Q3,2024,7731,6593288.191035,6097093.1907053,395597.2914621,100597.708865,607607.33728791,852.84,26
DXB-COK,Star Air,XX,9,September,Q3,2024,7796,6404341.0,5919543.54,384260.46,100537.0,622943.87,821.49,27
CCU-DXB,Star Air,XX,9,September,Q3,2024,6493,6379814.645298,5900919.120964,382788.87871788,96106.645612,504340.63585478,982.57,28
DXB-MIL,Star Air,XX,9,September,Q3,2024,5127,6306371.0,5835374.74,378382.26,92614.0,570922.1,1230.03,29
MRU-DXB,Star Air,XX,9,September,Q3,2024,3393,6200050.048294,5736499.9214567,372003.00289764,91547.123941,512060.81695631,1827.31,30
DXB-LHE,Star Air,XX,9,September,Q3,2024,6876,5873336.0,5433057.84,352400.16,87878.0,554292.45,854.18,31
DXB-MRU,Star Air,XX,9,September,Q3,2024,3110,5778995.0,5346035.3,346739.7,86220.0,454493.63,1858.2,32
YYZ-DXB,Star Air,XX,9,September,Q3,2024,1332,5109532.601948,4731987.6894073,306571.95611688,70972.956421,562062.11375359,3835.99,33
DXB-CDG,Star Air,XX,9,September,Q3,2024,1899,4899252.0,4539369.88,293955.12,65927.0,465009.79,2579.91,34
DXB-YYZ,Star Air,XX,9,September,Q3,2024,1181,4538688.0,4199871.72,272321.28,66495.0,499254.57,3843.09,35
LHR-DXB,Star Air,XX,9,September,Q3,2024,2909,4256140.120841,3932458.8658678,255368.40725046,68312.84771,314338.94104725,1463.09,36
ZRH-DXB,Star Air,XX,9,September,Q3,2024,1499,4181000.967121,3871163.3132908,250860.05802726,58977.595805,336034.15545131,2789.19,37
DXB-LHR,Star Air,XX,9,September,Q3,2024,2733,3989305.0,3682698.7,239358.3,67248.0,286099.51,1459.68,38
