Sale_Date,month_name,quarter_label,year,Carrier_Number,Carrier_Name,Carrier_Code,Origin_Airport_Code,Origin_Airport_Name,Destination_Airport_Code,Destination_Airport_Name,Route,Agent_Code,Agent_Name,Agent_Location_Type,Booking_Class_Code,Booking_Class_Description,Class_of_Travel,Original_Currency,Total_Tickets_Sold,Gross_Fare_AED,Net_Fare_AED,Total_Tax_AED,Commission_Amount_AED,Discount_Amount_AED,Avg_Ticket_Value_AED
2024-09-30,September,Q3,2024,888,Star Air,XX,BNE,Brisbane Airport (BNE),DXB,Dubai International Airport,BNE-DXB,6911193,Helloworld Travel,GSA,L,Economy,Y,AUD,32,51152.364432,47125.7709016,9496.26533778,3069.14186592,957.451664,1598.51
2024-09-30,September,Q3,2024,888,Star Air,XX,COK,Cochin International Airport,DXB,Dubai International Airport,COK-DXB,9367301,Unimoni Travel Agency Cochin – Airport,GSA,L,Economy,Y,INR,8,6129.44694,5684.9328516,636.02998584,367.7668164,76.747272,766.18
2024-09-30,September,Q3,2024,888,Star Air,XX,BKK,Suvarnabhumi Airport,DXB,Dubai International Airport,BKK-DXB,9560238,NS Travel & Tours,GSA,S,Economy,Y,THB,6,10609.006136,9972.4657679,2086.58649496,636.54036816,0.0,1768.17
2024-09-30,September,Q3,2024,888,Star Air,XX,BNE,Brisbane Airport (BNE),DXB,Dubai International Airport,BNE-DXB,6911193,Helloworld Travel,GSA,H,Economy,Y,AUD,34,54141.854468,49778.0138677,9696.1079085,3248.51126808,1115.329332,1592.41
2024-09-30,September,Q3,2024,888,Star Air,XX,COK,Cochin International Airport,DXB,Dubai International Airport,COK-DXB,9367303,Holiday Mango Travel,BSP,N,Economy,Y,INR,7,5395.854456,4992.1206686,515.25323526,323.75126736,79.98252,770.84
2024-09-30,September,Q3,2024,888,Star Air,XX,CCU,Netaji Subhas Chandra Bose International Airport,DXB,Dubai International Airport,CCU-DXB,9369311,Innovative Vacations,BSP,N,Economy,Y,INR,10,9153.95448,8423.9477292,780.56019684,549.2372688,180.769482,915.4
2024-09-30,September,Q3,2024,888,Star Air,XX,BNE,Brisbane Airport (BNE),DXB,Dubai International Airport,BNE-DXB,6911193,Helloworld Travel,GSA,G,Economy,Y,AUD,27,43019.118116,39796.2747009,8125.88717954,2581.14708696,641.696328,1593.3
2024-09-30,September,Q3,2024,888,Star Air,XX,BNE,Brisbane Airport (BNE),DXB,Dubai International Airport,BNE-DXB,6911192,Flight Centre,BSP,M,Economy,Y,AUD,18,28619.146946,26744.1204611,4977.42451752,1717.14881676,157.877668,1589.95
2024-09-30,September,Q3,2024,888,Star Air,XX,BNE,Brisbane Airport (BNE),DXB,Dubai International Airport,BNE-DXB,6911192,Flight Centre,BSP,H,Economy,Y,AUD,39,62183.42988,57505.158079,11575.76886674,3731.0057928,947.266008,1594.45
2024-09-30,September,Q3,2024,888,Star Air,XX,CCU,Netaji Subhas Chandra Bose International Airport,DXB,Dubai International Airport,CCU-DXB,9369309,Adrija Travels,BSP,Q,Economy,Y,INR,7,6328.145088,5948.4563828,523.87067778,379.68870528,0.0,904.02
2024-09-30,September,Q3,2024,888,Star Air,XX,CCU,Netaji Subhas Chandra Bose International Airport,DXB,Dubai International Airport,CCU-DXB,9369309,Adrija Travels,BSP,K,Economy,Y,INR,3,2700.30873,2448.3323383,207.033405,162.0185238,89.957868,900.1
2024-09-30,September,Q3,2024,888,Star Air,XX,CDG,Charles de Gaulle Airport (CDG),DXB,Dubai International Airport,CDG-DXB,6339181,French Side Travel,BSP,B,Economy,Y,EUR,3,7062.943959,6169.1290194,706.2943959,423.77663754,470.038302,2354.31
2024-09-30,September,Q3,2024,888,Star Air,XX,BNE,Brisbane Airport (BNE),DXB,Dubai International Airport,BNE-DXB,6911193,Helloworld Travel,GSA,S,Economy,Y,AUD,21,33747.624742,30907.9147775,6282.05426628,2024.85748452,814.85248,1607.03
2024-09-30,September,Q3,2024,888,Star Air,XX,BNE,Brisbane Airport (BNE),DXB,Dubai International Airport,BNE-DXB,6911192,Flight Centre,BSP,S,Economy,Y,AUD,25,40011.803182,36966.8522493,7456.18029754,2400.70819092,644.242742,1600.47
2024-09-30,September,Q3,2024,888,Star Air,XX,COK,Cochin International Airport,DXB,Dubai International Airport,COK-DXB,9367302,Amazing Traveling,GSA,G,Economy,Y,INR,13,9977.055492,9225.1173545,1013.16643992,598.62332952,153.314808,767.47
2024-09-30,September,Q3,2024,888,Star Air,XX,BKK,Suvarnabhumi Airport,DXB,Dubai International Airport,BKK-DXB,9560238,NS Travel & Tours,GSA,K,Economy,Y,THB,10,17648.522856,16412.9804928,3564.93859566,1058.91137136,176.630992,1764.85
2024-09-30,September,Q3,2024,888,Star Air,XX,BOM,Chhatrapati Shivaji Maharaj International Airport,DXB,Dubai International Airport,BOM-DXB,9350174,Arago Travels,BSP,H,Economy,Y,INR,6,4889.448276,4596.0813795,472.5529044,293.36689656,0.0,814.91
2024-09-30,September,Q3,2024,888,Star Air,XX,BKK,Suvarnabhumi Airport,DXB,Dubai International Airport,BKK-DXB,9560236,FCM Travel Thailand,BSP,H,Economy,Y,THB,10,17856.342937,16420.1250448,3518.74337487,1071.38057622,364.837316,1785.63
2024-09-30,September,Q3,2024,888,Star Air,XX,CDG,Charles de Gaulle Airport (CDG),DXB,Dubai International Airport,CDG-DXB,6339181,French Side Travel,BSP,K,Economy,Y,EUR,6,14266.07478,12705.0528401,1307.40741387,855.9644868,705.057453,2377.68
2024-09-30,September,Q3,2024,888,Star Air,XX,BKK,Suvarnabhumi Airport,DXB,Dubai International Airport,BKK-DXB,9560236,FCM Travel Thailand,BSP,G,Economy,Y,THB,9,15989.713473,14501.2951207,3199.05306904,959.38280838,529.035544,1776.63
2024-09-30,September,Q3,2024,888,Star Air,XX,BNE,Brisbane Airport (BNE),DXB,Dubai International Airport,BNE-DXB,6911192,Flight Centre,BSP,K,Economy,Y,AUD,42,67072.54476,62093.2868241,12082.96360726,4024.3526856,954.90525,1596.97
2024-09-30,September,Q3,2024,888,Star Air,XX,BNE,Brisbane Airport (BNE),DXB,Dubai International Airport,BNE-DXB,6911192,Flight Centre,BSP,L,Economy,Y,AUD,28,44725.215496,41410.1918942,8145.01074868,2683.51292976,631.510672,1597.33
2024-09-30,September,Q3,2024,888,Star Air,XX,COK,Cochin International Airport,DXB,Dubai International Airport,COK-DXB,9367300,Guiders Mission Tours and Travels,GSA,B,Economy,Y,INR,6,4591.311186,4315.8325147,420.85049598,275.47867116,0.0,765.22
2024-09-30,September,Q3,2024,888,Star Air,XX,BNE,Brisbane Airport (BNE),DXB,Dubai International Airport,BNE-DXB,6911192,Flight Centre,BSP,I,Business Class,J,AUD,1,5889.855582,4948.2426131,1118.99616816,353.39133492,588.221634,5889.86
2024-09-30,September,Q3,2024,888,Star Air,XX,DEL,Indira Gandhi International Airport,DXB,Dubai International Airport,DEL-DXB,9349170,Classic Travels,BSP,S,Economy,Y,INR,2,1652.762388,1553.5966447,181.80251466,99.16574328,0.0,826.38
2024-09-30,September,Q3,2024,888,Star Air,XX,BKK,Suvarnabhumi Airport,DXB,Dubai International Airport,BKK-DXB,9560237,"GM Tour & Travel Co., Ltd.",BSP,L,Economy,Y,THB,8,14236.479391,13205.9811726,2919.07258271,854.18876346,176.309455,1779.56
2024-09-30,September,Q3,2024,888,Star Air,XX,BNE,Brisbane Airport (BNE),DXB,Dubai International Airport,BNE-DXB,6911192,Flight Centre,BSP,B,Economy,Y,AUD,29,46288.713692,42406.2471941,8477.1395267,2777.32282152,1105.143676,1596.16
2024-09-30,September,Q3,2024,888,Star Air,XX,CCU,Netaji Subhas Chandra Bose International Airport,DXB,Dubai International Airport,CCU-DXB,9369309,Adrija Travels,BSP,S,Economy,Y,INR,7,6349.1742,5784.4886219,498.91433418,380.950452,183.735126,907.02
2024-09-30,September,Q3,2024,888,Star Air,XX,GVA,Geneva Airport (GVA),DXB,Dubai International Airport,GVA-DXB,8657349,Sure Travel,GSA,L,Economy,Y,CHF,1,2084.159484,1959.109915,229.25754324,125.04956904,0.0,2084.16
2024-09-30,September,Q3,2024,888,Star Air,XX,CCU,Netaji Subhas Chandra Bose International Airport,DXB,Dubai International Airport,CCU-DXB,9369309,Adrija Travels,BSP,H,Economy,Y,INR,5,4583.402802,4218.3958319,375.50265384,275.00416812,90.002802,916.68
2024-09-30,September,Q3,2024,888,Star Air,XX,BNE,Brisbane Airport (BNE),DXB,Dubai International Airport,BNE-DXB,6911192,Flight Centre,BSP,Q,Economy,Y,AUD,32,50872.258892,46556.902014,9124.51435792,3052.33553352,1263.021344,1589.76
2024-09-30,September,Q3,2024,888,Star Air,XX,BNE,Brisbane Airport (BNE),DXB,Dubai International Airport,BNE-DXB,6911192,Flight Centre,BSP,N,Economy,Y,AUD,37,59272.878678,55390.5649649,11040.00336114,3556.37272068,325.940992,1601.97
2024-09-30,September,Q3,2024,888,Star Air,XX,BNE,Brisbane Airport (BNE),DXB,Dubai International Airport,BNE-DXB,6911192,Flight Centre,BSP,O,Economy,Y,AUD,25,39802.997234,36783.3067277,7452.5898538,2388.17983404,631.510672,1592.12
2024-09-30,September,Q3,2024,888,Star Air,XX,BKK,Suvarnabhumi Airport,DXB,Dubai International Airport,BKK-DXB,9560238,NS Travel & Tours,GSA,Y,Economy,Y,THB,9,15872.674005,14743.8969308,3156.80096366,952.3604403,176.416634,1763.63
2024-09-30,September,Q3,2024,888,Star Air,XX,CPT,Cape Town International Airport,DXB,Dubai International Airport,CPT-DXB,8657348,Thompsons Travel,BSP,V,Economy,Y,ZAR,5,10051.704864,9046.2017091,1005.13423407,603.10229184,402.400863,2010.34
2024-09-30,September,Q3,2024,888,Star Air,XX,CCU,Netaji Subhas Chandra Bose International Airport,DXB,Dubai International Airport,CCU-DXB,9369308,Safari Travels,BSP,R,Business Class,J,INR,2,5864.516076,5220.1697054,469.16128608,351.87096456,292.475406,2932.26
2024-09-30,September,Q3,2024,888,Star Air,XX,SYD,Sydney Kingsford Smith Airport (SYD),KUL,Kuala Lumpur International Airport,SYD-KUL,4768305,Holland Clarke & Beatson Travel,GSA,G,Economy,Y,AUD,2,1815.593182,1614.9866871,411.06761202,108.93559092,91.670904,907.8
2024-09-30,September,Q3,2024,888,Star Air,XX,DEL,Indira Gandhi International Airport,DXB,Dubai International Airport,DEL-DXB,9349168,New Kalpana Holiday Travels,BSP,Q,Economy,Y,INR,1,817.7988,768.730872,89.957868,49.067928,0.0,817.8
2024-09-30,September,Q3,2024,888,Star Air,XX,COK,Cochin International Airport,DXB,Dubai International Airport,COK-DXB,9367301,Unimoni Travel Agency Cochin – Airport,GSA,B,Economy,Y,INR,9,6923.475654,6200.2242807,707.94775152,415.40853924,307.842834,769.28
2024-09-30,September,Q3,2024,888,Star Air,XX,AKL,Auckland Airport,DXB,Dubai International Airport,AKL-DXB,4773322,Travel Managers,BSP,K,Economy,Y,NZD,4,8017.165899,7536.1359451,1241.09380773,481.02995394,0.0,2004.29
2024-09-30,September,Q3,2024,888,Star Air,XX,AKL,Auckland Airport,DXB,Dubai International Airport,AKL-DXB,4773321,House of Travel,BSP,H,Economy,Y,NZD,4,7981.884558,7502.9714845,1177.00628949,478.91307348,0.0,1995.47
2024-09-30,September,Q3,2024,888,Star Air,XX,BKK,Suvarnabhumi Airport,DXB,Dubai International Airport,BKK-DXB,9560236,FCM Travel Thailand,BSP,Q,Economy,Y,THB,11,19405.293845,17711.8334912,3951.56861773,1164.3176307,529.142723,1764.12
2024-09-30,September,Q3,2024,888,Star Air,XX,CCU,Netaji Subhas Chandra Bose International Airport,DXB,Dubai International Airport,CCU-DXB,9369308,Safari Travels,BSP,V,Economy,Y,INR,10,9185.543082,8539.3301531,763.22600766,551.13258492,95.080344,918.55
2024-09-30,September,Q3,2024,888,Star Air,XX,CHC,Christchurch Airport,DXB,Dubai International Airport,CHC-DXB,4768306,House of Travel Barrington,GSA,Q,Economy,Y,NZD,4,3526.058727,3314.4952034,555.59810583,211.56352362,0.0,881.51
2024-09-30,September,Q3,2024,888,Star Air,XX,CPT,Cape Town International Airport,DXB,Dubai International Airport,CPT-DXB,8657347,XL Embassy Travel,BSP,V,Economy,Y,ZAR,5,10156.623372,9547.2259697,1096.04228277,609.39740232,0.0,2031.32
2024-09-30,September,Q3,2024,888,Star Air,XX,CCU,Netaji Subhas Chandra Bose International Airport,DXB,Dubai International Airport,CCU-DXB,9369308,Safari Travels,BSP,L,Economy,Y,INR,3,2728.39248,2474.7759972,226.97151948,163.7035488,89.912934,909.46
2024-09-30,September,Q3,2024,888,Star Air,XX,BKK,Suvarnabhumi Airport,DXB,Dubai International Airport,BKK-DXB,9560238,NS Travel & Tours,GSA,Q,Economy,Y,THB,12,21188.323689,19917.0242676,4078.41496423,1271.29942134,0.0,1765.69
2024-09-30,September,Q3,2024,888,Star Air,XX,BNE,Brisbane Airport (BNE),DXB,Dubai International Airport,BNE-DXB,6911193,Helloworld Travel,GSA,V,Economy,Y,AUD,35,55954.901236,52113.7885016,10248.14499956,3357.29407416,483.81866,1598.71
2024-09-30,September,Q3,2024,888,Star Air,XX,BNE,Brisbane Airport (BNE),DXB,Dubai International Airport,BNE-DXB,6911193,Helloworld Travel,GSA,M,Economy,Y,AUD,48,76555.390496,71483.3412339,14307.30716454,4593.32342976,478.725832,1594.9
2024-09-30,September,Q3,2024,888,Star Air,XX,BNE,Brisbane Airport (BNE),DXB,Dubai International Airport,BNE-DXB,6911192,Flight Centre,BSP,Y,Economy,Y,AUD,26,41486.176888,37879.1305286,7545.30478754,2489.17061328,1117.875746,1595.62
2024-09-30,September,Q3,2024,888,Star Air,XX,CHC,Christchurch Airport,DXB,Dubai International Airport,CHC-DXB,4768305,Holland Clarke & Beatson Travel,GSA,Y,Economy,Y,NZD,4,3567.566187,3266.3465498,552.98313585,214.05397122,87.165666,891.89
2024-09-30,September,Q3,2024,888,Star Air,XX,CPT,Cape Town International Airport,DXB,Dubai International Airport,CPT-DXB,8657347,XL Embassy Travel,BSP,Y,Economy,Y,ZAR,3,6028.975728,5466.1433773,623.01335097,361.73854368,201.093807,2009.66
2024-09-30,September,Q3,2024,888,Star Air,XX,AKL,Auckland Airport,DXB,Dubai International Airport,AKL-DXB,4773321,House of Travel,BSP,S,Economy,Y,NZD,2,3963.96243,3528.9642492,614.310408,237.8377458,197.160435,1981.98
2024-09-30,September,Q3,2024,888,Star Air,XX,DFW,Dallas/Fort Worth International Airport (DFW,DXB,Dubai International Airport,DFW-DXB,6755265,Sharon Carr Travel,BSP,N,Economy,Y,USD,1,3571.766658,3357.4606585,321.38749238,214.30599948,0.0,3571.77
2024-09-30,September,Q3,2024,888,Star Air,XX,CDG,Charles de Gaulle Airport (CDG),DXB,Dubai International Airport,CDG-DXB,6339181,French Side Travel,BSP,H,Economy,Y,EUR,3,7067.067102,6408.0239248,683.12233224,424.02402612,235.019151,2355.69
2024-09-30,September,Q3,2024,888,Star Air,XX,CCU,Netaji Subhas Chandra Bose International Airport,DXB,Dubai International Airport,CCU-DXB,9369311,Innovative Vacations,BSP,B,Economy,Y,INR,3,2702.510496,2450.3570642,207.18932598,162.15062976,90.002802,900.84
2024-09-30,September,Q3,2024,888,Star Air,XX,BOM,Chhatrapati Shivaji Maharaj International Airport,DXB,Dubai International Airport,BOM-DXB,9350174,Arago Travels,BSP,M,Economy,Y,INR,2,1619.286558,1522.1293645,178.12197072,97.15719348,0.0,809.64
2024-09-30,September,Q3,2024,888,Star Air,XX,SYD,Sydney Kingsford Smith Airport (SYD),KUL,Kuala Lumpur International Airport,SYD-KUL,4768304,House of Travel Christchurch City,BSP,L,Economy,Y,AUD,2,1818.139596,1709.0512203,411.09307616,109.08837576,0.0,909.07
2024-09-30,September,Q3,2024,888,Star Air,XX,CCU,Netaji Subhas Chandra Bose International Airport,DXB,Dubai International Airport,CCU-DXB,9369308,Safari Travels,BSP,J,Business Class,J,INR,2,5840.386518,5489.9633269,467.19632226,350.42319108,0.0,2920.19
2024-09-30,September,Q3,2024,888,Star Air,XX,CPT,Cape Town International Airport,DXB,Dubai International Airport,CPT-DXB,8657348,Thompsons Travel,BSP,S,Economy,Y,ZAR,4,8146.964796,7453.4278682,855.554988,488.81788776,204.71904,2036.74
2024-09-30,September,Q3,2024,888,Star Air,XX,COK,Cochin International Airport,DXB,Dubai International Airport,COK-DXB,9367302,Amazing Traveling,GSA,L,Economy,Y,INR,10,7687.75806,7226.4925763,707.28722172,461.2654836,0.0,768.78
2024-09-30,September,Q3,2024,888,Star Air,XX,BKK,Suvarnabhumi Airport,DXB,Dubai International Airport,BKK-DXB,9560236,FCM Travel Thailand,BSP,O,Economy,Y,THB,12,21237.626029,19434.0113863,4336.31336119,1274.25756174,529.357081,1769.8
2024-09-30,September,Q3,2024,888,Star Air,XX,DEL,Indira Gandhi International Airport,DXB,Dubai International Airport,DEL-DXB,9349167,Fouji Tourist Service,BSP,H,Economy,Y,INR,1,808.767066,679.359842,88.9648266,48.52602396,80.8812,808.77
2024-09-30,September,Q3,2024,888,Star Air,XX,CCU,Netaji Subhas Chandra Bose International Airport,DXB,Dubai International Airport,CCU-DXB,9369310,Nature Canvas Travel,BSP,Q,Economy,Y,INR,8,7318.804986,6879.6766868,620.10537624,439.12829916,0.0,914.85
2024-09-30,September,Q3,2024,888,Star Air,XX,BNE,Brisbane Airport (BNE),DXB,Dubai International Airport,BNE-DXB,6911193,Helloworld Travel,GSA,B,Economy,Y,AUD,28,44855.08261,41048.4483212,8216.71776692,2691.3049566,1115.329332,1601.97
2024-09-30,September,Q3,2024,888,Star Air,XX,CHC,Christchurch Airport,DXB,Dubai International Airport,CHC-DXB,4768304,House of Travel Christchurch City,BSP,B,Economy,Y,NZD,4,3528.1341,3316.446054,546.71550939,211.688046,0.0,882.03
2024-09-30,September,Q3,2024,888,Star Air,XX,COK,Cochin International Airport,DXB,Dubai International Airport,COK-DXB,9367302,Amazing Traveling,GSA,C,Business Class,J,INR,3,8767.97142,8241.8931347,818.45573508,526.0782852,0.0,2922.66
2024-09-30,September,Q3,2024,888,Star Air,XX,BKK,Suvarnabhumi Airport,DXB,Dubai International Airport,BKK-DXB,9560237,"GM Tour & Travel Co., Ltd.",BSP,B,Economy,Y,THB,13,22938.878296,21033.1885173,4429.08964717,1376.33269776,529.357081,1764.53
2024-09-30,September,Q3,2024,888,Star Air,XX,BKK,Suvarnabhumi Airport,DXB,Dubai International Airport,BKK-DXB,9560237,"GM Tour & Travel Co., Ltd.",BSP,O,Economy,Y,THB,12,21340.839406,19883.7580497,4375.74665887,1280.45036436,176.630992,1778.4
2024-09-30,September,Q3,2024,888,Star Air,XX,CHC,Christchurch Airport,DXB,Dubai International Airport,CHC-DXB,4768305,Holland Clarke & Beatson Travel,GSA,N,Economy,Y,NZD,2,1803.499137,1695.2891888,279.59425056,108.20994822,0.0,901.75
2024-09-30,September,Q3,2024,888,Star Air,XX,BKK,Suvarnabhumi Airport,DXB,Dubai International Airport,BKK-DXB,9560238,NS Travel & Tours,GSA,V,Economy,Y,THB,14,24922.975944,22889.5588073,5003.01068458,1495.37855664,538.03858,1780.21
2024-09-30,September,Q3,2024,888,Star Air,XX,CMB,Bandaranaike International Airport (CMB),DXB,Dubai International Airport,CMB-DXB,9369309,Adrija Travels,BSP,V,Economy,Y,LKR,2,1790.366968,1593.4881279,30.8324172,107.42201808,89.456822,895.18
2024-09-30,September,Q3,2024,888,Star Air,XX,COK,Cochin International Airport,DXB,Dubai International Airport,COK-DXB,9367301,Unimoni Travel Agency Cochin – Airport,GSA,K,Economy,Y,INR,5,3971.087184,3656.074681,397.18196082,238.26523104,76.747272,794.22
2024-09-30,September,Q3,2024,888,Star Air,XX,BKK,Suvarnabhumi Airport,DXB,Dubai International Airport,BKK-DXB,9560237,"GM Tour & Travel Co., Ltd.",BSP,K,Economy,Y,THB,6,10583.819071,9772.2661137,2222.63308682,635.02914426,176.523813,1763.97
2024-09-30,September,Q3,2024,888,Star Air,XX,CCU,Netaji Subhas Chandra Bose International Airport,DXB,Dubai International Airport,CCU-DXB,9369309,Adrija Travels,BSP,O,Economy,Y,INR,5,4553.791296,4189.9768741,354.38816724,273.22747776,90.586944,910.76
2024-09-30,September,Q3,2024,888,Star Air,XX,CHC,Christchurch Airport,DXB,Dubai International Airport,CHC-DXB,4768305,Holland Clarke & Beatson Travel,GSA,Q,Economy,Y,NZD,6,5342.010102,4664.5253399,819.37801413,320.52060612,356.964156,890.34
2024-09-30,September,Q3,2024,888,Star Air,XX,COK,Cochin International Airport,DXB,Dubai International Airport,COK-DXB,9367303,Holiday Mango Travel,BSP,Y,Economy,Y,INR,10,7724.064732,7107.3060401,795.31966782,463.44388392,153.314808,772.41
2024-09-30,September,Q3,2024,888,Star Air,XX,BKK,Suvarnabhumi Airport,DXB,Dubai International Airport,BKK-DXB,9560236,FCM Travel Thailand,BSP,B,Economy,Y,THB,9,16052.841904,14913.1475768,3299.9449489,963.17051424,176.523813,1783.65
2024-09-30,September,Q3,2024,888,Star Air,XX,BKK,Suvarnabhumi Airport,DXB,Dubai International Airport,BKK-DXB,9560238,NS Travel & Tours,GSA,B,Economy,Y,THB,10,17727.299421,15949.2062417,3334.53804294,1063.63796526,714.455214,1772.73
2024-09-30,September,Q3,2024,888,Star Air,XX,BKK,Suvarnabhumi Airport,DXB,Dubai International Airport,BKK-DXB,9560238,NS Travel & Tours,GSA,H,Economy,Y,THB,13,22987.323204,21431.8815357,4561.09987789,1379.23939224,176.202276,1768.26
2024-09-30,September,Q3,2024,888,Star Air,XX,CCU,Netaji Subhas Chandra Bose International Airport,DXB,Dubai International Airport,CCU-DXB,9369309,Adrija Travels,BSP,V,Economy,Y,INR,6,5407.986636,4993.3698339,387.53418168,324.47919816,90.137604,901.33
2024-09-30,September,Q3,2024,888,Star Air,XX,BNE,Brisbane Airport (BNE),DXB,Dubai International Airport,BNE-DXB,6911193,Helloworld Travel,GSA,A,First Class,F,AUD,2,36548.680142,34355.7593335,6943.86726488,2192.92080852,0.0,18274.34
2024-09-30,September,Q3,2024,888,Star Air,XX,CPT,Cape Town International Airport,DXB,Dubai International Airport,CPT-DXB,8657347,XL Embassy Travel,BSP,O,Economy,Y,ZAR,7,14177.220018,12924.399203,1377.48618048,850.63320108,402.187614,2025.32
