Flight_Date,month_name,quarter_label,year,Carrier_Name,Carrier_Code,Flight_no,Route,Origin_Airport_Name,Destination_Airport_Name,Flight_Details_Flag,Flight_Status,Carrier_Type,Passenger_Count,Coupon_Count,First_Class_Seats,Business_Class_Seats,Economy_Class_Seats,Total_Seats,Load_Factor_Pct,Starair_Revenue_AED,Starair_Net_Revenue_AED,Starair_Commission_AED,Starair_Discount_AED,Starair_Tax_AED,Starair_Tickets_Sold,Inward_Billed_Amount,Inward_Billed_Commission,Inward_Accepted_Amount,Inward_Accepted_Commission,Inward_Rejected_Amount,Inward_Rejected_Commission,Inward_Ticket_Count,Inward_Acceptance_Rate_Pct,Settlement_Sale_Value,Settlement_Billing_Value,Settlement_Invoice_Count,Settlement_Ticket_Count,Settlement_Variance
2025-06-09,June,Q2,2025,Star Air,XX,348,BNE-DXB,Brisbane Airport (BNE),Dubai International Airport,Available,Active,Star Air,254,254,9,26,296,331,76.74,479441.83223100,444337.9166443,28766.50993386,6337.40565300,91097.31135948,254,481050.00,28863.00,406559.45,24393.70,74490.55,4469.30,936,84.52,705493693.00,705493693.00,3621,12609,0.00
2025-09-27,September,Q3,2025,Star Air,XX,172,DEL-DXB,Indira Gandhi International Airport,Dubai International Airport,Not Available,null,Star Air,259,259,null,null,null,0,null,null,null,null,null,null,null,1148815.00,68928.90,972441.78,58346.36,176373.22,10582.54,1922,84.65,472574326.00,472574326.00,3399,11239,0.00
2025-07-31,July,Q3,2025,Star Air,XX,650,YUL-DXB,Montréal–Trudeau International Airport,Dubai International Airport,Not Available,null,Star Air,246,246,null,null,null,0,null,null,null,null,null,null,null,851170.00,51070.20,723795.49,43427.78,127374.51,7642.42,1209,85.04,361492772.00,361492772.00,3161,9675,0.00
2025-01-28,January,Q1,2025,Star Air,XX,623,LHE-DXB,Allama Iqbal International Airport,Dubai International Airport,Not Available,null,Star Air,261,261,null,null,null,0,null,null,null,null,null,null,null,1535550.00,92133.00,1299764.44,77985.71,235785.56,14147.29,3004,84.64,132569928.00,132569928.00,1553,2914,0.00
2025-02-08,February,Q1,2025,Star Air,XX,235,BNE-DXB,Brisbane Airport (BNE),Dubai International Airport,Available,Active,Star Air,250,250,16,34,295,345,72.46,429657.63822000,396264.1136282,25779.45829320,7614.06630000,77341.68913679,250,1147305.00,68838.30,968206.20,58092.45,179098.80,10745.85,1760,84.39,144020368.00,144020368.00,1560,2851,0.00
2025-01-15,January,Q1,2025,Star Air,XX,998,LHE-DXB,Allama Iqbal International Airport,Dubai International Airport,Not Available,null,Star Air,263,263,null,null,null,0,null,null,null,null,null,null,null,638695.00,38321.70,544565.70,32673.81,94129.30,5647.89,1295,85.26,269491009.00,269491009.00,1480,2803,0.00
2025-08-12,August,Q3,2025,Star Air,XX,150,DXB-JFK,Dubai International Airport,John F. Kennedy International Airport (JFK),Not Available,null,Star Air,240,240,null,null,null,0,null,null,null,null,null,null,null,836385.00,50183.10,704816.86,42288.85,131568.14,7894.25,1473,84.27,364675108.00,364675108.00,3080,9598,0.00
2025-09-25,September,Q3,2025,Star Air,XX,735,JNB-DXB,Tambo International Airport,Dubai International Airport,Not Available,null,Star Air,258,258,null,null,null,0,null,null,null,null,null,null,null,1580105.00,94806.30,1334303.27,80058.24,245801.73,14748.06,2448,84.44,545741169.00,545741169.00,3398,11068,0.00
2026-02-08,February,Q1,2026,Star Air,XX,685,LHR-DXB,Heathrow Airport,Dubai International Airport,Available,Active,Star Air,232,232,12,27,291,330,70.30,340304.89262600,315517.8039210,20418.29355756,4368.79514700,30625.78825759,232,1578860.00,94731.60,1328710.25,79722.70,250149.75,15008.90,2181,84.16,29795209.00,29795209.00,953,1490,0.00
2025-09-08,September,Q3,2025,Star Air,XX,384,YUL-DXB,Montréal–Trudeau International Airport,Dubai International Airport,Not Available,null,Star Air,245,245,null,null,null,0,null,null,null,null,null,null,null,938495.00,56309.70,797977.84,47878.48,140517.16,8431.22,1500,85.03,511934806.00,511934806.00,3238,10019,0.00
2025-12-22,December,Q4,2025,Star Air,XX,499,HYD-DXB,Hyderabad - Rajiv Gandhi International Airport,Dubai International Airport,Available,Active,Star Air,261,261,10,32,292,334,78.14,221883.51057900,206441.2744025,13313.01063474,2129.22554200,11094.18130241,261,137305.00,8238.30,117602.17,7056.08,19702.83,1182.22,254,85.65,93383554.00,93383554.00,1112,1814,0.00
2026-02-13,February,Q1,2026,Star Air,XX,816,LHE-DXB,Allama Iqbal International Airport,Dubai International Airport,Not Available,null,Star Air,241,241,null,null,null,0,null,null,null,null,null,null,null,471045.00,28262.70,397173.23,23830.44,73871.77,4432.26,1176,84.32,104413638.00,104413638.00,974,1467,0.00
2025-03-31,March,Q1,2025,Star Air,XX,307,BNE-DXB,Brisbane Airport (BNE),Dubai International Airport,Available,Active,Star Air,266,266,13,22,299,334,79.64,526040.03289500,486128.2685677,31562.40197370,8349.36235300,99946.07958995,266,799225.00,47953.50,678401.26,40703.88,120823.74,7249.62,1291,84.88,205776006.00,205776006.00,1459,2695,0.00
2025-06-10,June,Q2,2025,Star Air,XX,285,DXB-BNE,Dubai International Airport,Brisbane Airport (BNE),Not Available,null,Star Air,244,244,null,null,null,0,null,null,null,null,null,null,null,1008385.00,60503.10,854392.83,49877.53,153992.17,10625.57,1894,84.73,697106702.00,697106702.00,3550,12481,0.00
2025-01-24,January,Q1,2025,Star Air,XX,818,DXB-CCU,Dubai International Airport,Netaji Subhas Chandra Bose International Airport,Not Available,null,Star Air,241,241,null,null,null,0,null,null,null,null,null,null,null,1379025.00,82741.50,1169094.03,70145.63,209930.97,12595.87,3099,84.78,130069613.00,130069613.00,1532,2841,0.00
2025-12-07,December,Q4,2025,Star Air,XX,680,DXB-YUL,Dubai International Airport,Montréal–Trudeau International Airport,Available,Active,Star Air,229,229,15,32,292,339,67.55,193991.00000000,179852.5400000,11639.46000000,2499.00000000,17459.40000000,229,1180795.00,70847.70,998485.51,59909.03,182309.49,10938.67,1917,84.56,74211071.00,74211071.00,1142,1889,0.00
2025-01-13,January,Q1,2025,Star Air,XX,950,DXB-CDG,Dubai International Airport,Charles de Gaulle Airport (CDG),Not Available,null,Star Air,240,240,null,null,null,0,null,null,null,null,null,null,null,722520.00,43351.20,608504.90,36510.24,114015.11,6840.96,1491,84.22,76621678.00,76621678.00,1512,2795,0.00
2025-06-24,June,Q2,2025,Star Air,XX,385,CPT-DXB,Cape Town International Airport,Dubai International Airport,Not Available,null,Star Air,231,231,null,null,null,0,null,null,null,null,null,null,null,590625.00,35437.50,497140.94,29858.77,93484.07,5578.73,1441,84.17,559354879.00,559354879.00,3361,11145,0.00
2025-09-28,September,Q3,2025,Star Air,XX,369,DXB-SYD,Dubai International Airport,Sydney Kingsford Smith Airport (SYD),Not Available,null,Star Air,230,230,null,null,null,0,null,null,null,null,null,null,null,1230055.00,73803.30,1041120.32,62467.00,188934.70,11336.30,1721,84.64,504034511.00,504034511.00,3409,11162,0.00
2025-09-17,September,Q3,2025,Star Air,XX,597,SIN-DXB,Singapore Changi Airport (SIN),Dubai International Airport,Available,Active,Star Air,253,253,10,40,295,345,73.33,324423.05404900,300326.3543892,19465.38324294,4631.31641500,38930.58718840,253,1236845.00,74210.70,1050410.63,63024.49,186434.37,11186.21,1982,84.93,509700679.00,509700679.00,3337,10640,0.00
2025-11-14,November,Q4,2025,Star Air,XX,892,DFW-DXB,Dallas/Fort Worth International Airport (DFW,Dubai International Airport,Not Available,null,Star Air,261,261,null,null,null,0,null,null,null,null,null,null,null,700165.00,42009.90,595984.21,35758.96,104180.79,6250.94,1252,85.12,215548863.00,215548863.00,2491,6389,0.00
2025-11-30,November,Q4,2025,Star Air,XX,270,DXB-BKK,Dubai International Airport,Suvarnabhumi Airport,Not Available,null,Star Air,241,241,null,null,null,0,null,null,null,null,null,null,null,1660040.00,99602.40,1407381.94,84442.71,252658.07,15159.69,2421,84.78,50198837.00,50198837.00,1169,1890,0.00
2025-10-11,October,Q4,2025,Star Air,XX,366,DXB-MAA,Dubai International Airport,Chennai International Airport,Available,Active,Star Air,243,243,12,30,292,334,72.75,220599.00000000,168579.0600000,13235.94000000,38784.00000000,24265.19000000,243,975540.00,58532.40,828481.77,49709.03,147058.23,8823.37,1938,84.93,542524105.00,542524105.00,3598,12574,0.00
2025-05-13,May,Q2,2025,Star Air,XX,311,DXB-BNE,Dubai International Airport,Brisbane Airport (BNE),Not Available,null,Star Air,246,246,null,null,null,0,null,null,null,null,null,null,null,739865.00,44391.90,622577.78,36952.48,117287.23,7439.42,1420,84.15,492757067.00,492757067.00,3316,10587,0.00
2025-05-08,May,Q2,2025,Star Air,XX,342,DXB-ORD,Dubai International Airport,O'Hare International Airport (ORD),Not Available,null,Star Air,251,251,null,null,null,0,null,null,null,null,null,null,null,867895.00,52073.70,736523.98,43616.40,131371.02,8457.30,893,84.86,369646948.00,369646948.00,2740,7425,0.00
2025-09-27,September,Q3,2025,Star Air,XX,833,ORD-DXB,O'Hare International Airport (ORD),Dubai International Airport,Available,Active,Star Air,248,248,11,36,292,339,73.16,850856.06001500,788271.9660798,51051.36360090,11532.73033400,93595.31228878,248,1148815.00,68928.90,972441.78,58346.36,176373.22,10582.54,1922,84.65,472574326.00,472574326.00,3399,11239,0.00
2025-04-30,April,Q2,2025,Star Air,XX,367,ZRH-DXB,Zurich Airport (ZRH),Dubai International Airport,Not Available,null,Star Air,254,254,null,null,null,0,null,null,null,null,null,null,null,1583975.00,95038.50,1330978.51,76189.32,252996.49,18849.18,1986,84.03,110613789.00,110613789.00,1308,2152,0.00
2025-08-07,August,Q3,2025,Star Air,XX,989,DXB-COK,Dubai International Airport,Cochin International Airport,Not Available,null,Star Air,241,241,null,null,null,0,null,null,null,null,null,null,null,974510.00,58470.60,825498.02,49529.98,149011.98,8940.62,1420,84.71,294333017.00,294333017.00,3087,9506,0.00
2025-07-06,July,Q3,2025,Star Air,XX,399,DXB-YUL,Dubai International Airport,Montréal–Trudeau International Airport,Available,Active,Star Air,234,234,16,38,300,354,66.10,228223.00000000,211303.6200000,13693.38000000,3226.00000000,22822.53000000,234,1628150.00,97689.00,1377705.74,82662.30,250444.26,15026.70,2149,84.62,556482288.00,556482288.00,3269,10508,0.00
2025-11-03,November,Q4,2025,Star Air,XX,982,YUL-DXB,Montréal–Trudeau International Airport,Dubai International Airport,Not Available,null,Star Air,251,251,null,null,null,0,null,null,null,null,null,null,null,436685.00,26201.10,367771.39,22066.39,68913.62,4134.71,983,84.22,674738704.00,674738704.00,3755,14362,0.00
2025-07-29,July,Q3,2025,Star Air,XX,331,LHR-DXB,Heathrow Airport,Dubai International Airport,Not Available,null,Star Air,255,255,null,null,null,0,null,null,null,null,null,null,null,1031625.00,61897.50,872374.27,52342.49,159250.73,9555.01,2209,84.56,478950843.00,478950843.00,3141,9581,0.00
2025-12-14,December,Q4,2025,Star Air,XX,310,IAH-DXB,George Bush Intercontinental Airport,Dubai International Airport,Available,Active,Star Air,256,256,12,20,299,331,77.34,818349.99488500,737635.7796980,49100.99969310,31613.21549300,73651.68545629,256,1681505.00,100890.30,1422671.28,85360.00,258833.72,15530.30,2631,84.61,88377902.00,88377902.00,1154,1879,0.00
2025-04-27,April,Q2,2025,Star Air,XX,926,CPT-DXB,Cape Town International Airport,Dubai International Airport,Available,Active,Star Air,229,229,13,37,292,342,66.96,611183.63443400,563295.7656411,36671.01806604,11216.85072700,42782.89711831,229,1429380.00,85762.80,1210179.66,71567.02,219200.34,14195.78,2197,84.66,116580851.00,116580851.00,1361,2272,0.00
2025-07-19,July,Q3,2025,Star Air,XX,117,MAA-DXB,Chennai International Airport,Dubai International Airport,Available,Active,Star Air,241,241,10,33,297,340,70.88,235496.20884500,218255.8290349,14129.77253070,3110.60727900,25904.44213764,241,1998055.00,119883.30,1693985.38,101639.26,304069.62,18244.04,2455,84.78,693050846.00,693050846.00,3213,10033,0.00
2025-02-05,February,Q1,2025,Star Air,XX,542,DXB-ORD,Dubai International Airport,O'Hare International Airport (ORD),Not Available,null,Star Air,258,258,null,null,null,0,null,null,null,null,null,null,null,1697325.00,101839.50,1440368.56,86422.08,256956.44,15417.42,2564,84.86,69222377.00,69222377.00,1517,2913,0.00
2025-04-09,April,Q2,2025,Star Air,XX,161,DXB-SYD,Dubai International Airport,Sydney Kingsford Smith Airport (SYD),Not Available,null,Star Air,239,239,null,null,null,0,null,null,null,null,null,null,null,1379430.00,82765.80,1166236.78,69712.11,213193.24,13053.69,2396,84.54,256885889.00,256885889.00,1383,2526,0.00
2025-05-30,May,Q2,2025,Star Air,XX,817,SIN-DXB,Singapore Changi Airport (SIN),Dubai International Airport,Available,Active,Star Air,246,246,8,28,296,332,74.10,343990.32316700,317515.1363295,20639.41939002,5835.76744800,41277.02129919,246,864895.00,51893.70,729095.23,43745.64,135799.77,8148.06,1934,84.30,644663014.00,644663014.00,3784,13968,0.00
2025-11-25,November,Q4,2025,Star Air,XX,745,DXB-MEL,Dubai International Airport,Melbourne Airport (MEL),Not Available,null,Star Air,248,248,null,null,null,0,null,null,null,null,null,null,null,874145.00,52448.70,738151.99,44289.18,135993.01,8159.52,1744,84.44,45660600.00,45660600.00,1211,1985,0.00
2025-05-04,May,Q2,2025,Star Air,XX,480,CCU-DXB,Netaji Subhas Chandra Bose International Airport,Dubai International Airport,Available,Active,Star Air,239,239,7,21,293,321,74.45,269453.01136100,250077.7102727,16167.18068166,3208.12040700,29639.86324519,239,1646470.00,98788.20,1391148.70,83468.80,255321.30,15319.40,2157,84.49,335758013.00,335758013.00,2104,4531,0.00
2025-04-09,April,Q2,2025,Star Air,XX,576,YUL-DXB,Montréal–Trudeau International Airport,Dubai International Airport,Not Available,null,Star Air,244,244,null,null,null,0,null,null,null,null,null,null,null,1379430.00,82765.80,1166236.78,69712.11,213193.24,13053.69,2396,84.54,256885889.00,256885889.00,1383,2526,0.00
2025-01-05,January,Q1,2025,Star Air,XX,926,CPT-DXB,Cape Town International Airport,Dubai International Airport,Available,Active,Star Air,250,250,13,37,292,342,73.10,516721.24754600,477275.7226424,31003.27485276,8442.25005100,36170.40454058,250,1544380.00,92662.80,1305635.22,78338.02,238744.78,14324.78,2239,84.54,133709929.00,133709929.00,1528,2775,0.00
2025-11-25,November,Q4,2025,Star Air,XX,567,DXB-SYD,Dubai International Airport,Sydney Kingsford Smith Airport (SYD),Not Available,null,Star Air,250,250,null,null,null,0,null,null,null,null,null,null,null,874145.00,52448.70,738151.99,44289.18,135993.01,8159.52,1744,84.44,45660600.00,45660600.00,1211,1985,0.00
2026-01-08,January,Q1,2026,Star Air,XX,912,DXB-COK,Dubai International Airport,Cochin International Airport,Available,Active,Star Air,225,225,14,35,290,339,66.37,176017.00000000,162498.9800000,10561.02000000,2957.00000000,15841.37000000,225,748355.00,44901.30,631540.08,37892.49,116814.92,7008.81,1709,84.39,81465213.00,81465213.00,1022,1544,0.00
2025-05-08,May,Q2,2025,Star Air,XX,384,DXB-YUL,Dubai International Airport,Montréal–Trudeau International Airport,Not Available,null,Star Air,250,250,null,null,null,0,null,null,null,null,null,null,null,867895.00,52073.70,736523.98,43616.40,131371.02,8457.30,893,84.86,369646948.00,369646948.00,2740,7425,0.00
2025-10-25,October,Q4,2025,Star Air,XX,235,BNE-DXB,Brisbane Airport (BNE),Dubai International Airport,Available,Active,Star Air,242,242,16,34,295,345,70.14,439561.46462400,399367.2393488,26373.68787744,13820.53739800,79120.94673937,242,1670380.00,100222.80,1408980.78,84539.13,261399.22,15683.67,2393,84.35,679865711.00,679865711.00,3909,14893,0.00
2025-06-27,June,Q2,2025,Star Air,XX,285,BNE-DXB,Brisbane Airport (BNE),Dubai International Airport,Available,Active,Star Air,252,252,10,30,295,335,75.22,473594.78765800,438968.7060568,28415.68725948,6210.39434100,89982.54546667,252,971450.00,58287.00,822792.46,49367.76,148657.54,8919.24,1925,84.70,483461810.00,483461810.00,3376,10922,0.00
2025-08-01,August,Q3,2025,Star Air,XX,694,DXB-DEL,Dubai International Airport,Indira Gandhi International Airport,Available,Active,Star Air,223,223,9,34,290,333,66.97,228254.00000000,211980.7600000,13695.24000000,2578.00000000,25107.92000000,223,1182805.00,70968.30,1000017.43,60001.18,182787.57,10967.12,2271,84.55,412298145.00,412298145.00,3152,9726,0.00
2025-02-14,February,Q1,2025,Star Air,XX,223,DXB-CPT,Dubai International Airport,Cape Town International Airport,Not Available,null,Star Air,260,260,null,null,null,0,null,null,null,null,null,null,null,932165.00,55929.90,790316.75,47418.78,141848.25,8511.12,2035,84.78,66074484.00,66074484.00,1539,2914,0.00
