Billed_Date,month_name,quarter_label,year,Billed_Carrier_Name,Billed_Carrier_Code,Operating_Carrier_Name,Operating_Carrier_Code,Billed_Currency,Ticket_Count,Billed_Amount,Commission_Amount,Billed_Discount,Accepted_Amount,Accepted_Commission,Accepted_Discount,Rejected_Amount,Rejected_Commission,Rejected_Discount,Rejection_Percentage,Billing_Efficiency_Pct
2025-02-16,February,Q1,2025,Thai Airways International,TG,Star Air,XX,USD,245,153585.00,9215.10,3095.00,128733.45,7724.04,2549.08,24851.55,1491.06,545.92,16.18,83.82
2025-01-11,January,Q1,2025,British Airways,BA,Star Air,XX,USD,254,130205.00,7812.30,2825.00,112305.51,6738.30,2560.70,17899.49,1074.00,264.30,13.75,86.25
2025-02-16,February,Q1,2025,Emirates,EK,Star Air,XX,USD,203,54625.00,3277.50,700.00,46187.17,2771.17,592.01,8437.83,506.33,107.99,15.45,84.55
2025-02-16,February,Q1,2025,Air Canada,AC,Star Air,XX,USD,252,72650.00,4359.00,1075.00,61515.72,3690.80,900.72,11134.28,668.20,174.28,15.33,84.67
2025-02-16,February,Q1,2025,Blue Panorama,BV,Star Air,XX,USD,254,67800.00,4068.00,900.00,57470.28,3448.22,757.28,10329.72,619.78,142.72,15.24,84.76
2025-01-11,January,Q1,2025,Qantas,QF,Star Air,XX,USD,512,485875.00,29152.50,6940.00,408695.48,24521.71,5826.09,77179.52,4630.79,1113.91,15.88,84.12
2025-02-16,February,Q1,2025,Vietnam Airlines,VN,Star Air,XX,USD,1,710.00,42.60,0.00,686.69,41.20,0.00,23.31,1.40,0.00,3.28,96.72
2025-01-11,January,Q1,2025,American Airlines,AA,Star Air,XX,USD,520,531270.00,31876.20,6615.00,448318.18,26899.13,5568.92,82951.82,4977.07,1046.08,15.61,84.39
2025-01-11,January,Q1,2025,Air Mauritius,MK,Star Air,XX,USD,261,165525.00,9931.50,2085.00,138308.61,8298.57,1781.46,27216.39,1632.93,303.54,16.44,83.56
2025-02-16,February,Q1,2025,JetBlue,B6,Star Air,XX,USD,244,311795.00,18707.70,5120.00,264713.63,15882.75,4162.09,47081.37,2824.95,957.91,15.10,84.90
2025-01-11,January,Q1,2025,Air Canada,AC,Star Air,XX,USD,457,126795.00,7607.70,1525.00,106491.80,6389.50,1262.12,20303.20,1218.20,262.88,16.01,83.99
2025-01-11,January,Q1,2025,Emirates,EK,Star Air,XX,USD,490,141925.00,8515.50,2125.00,120390.50,7223.46,1835.23,21534.50,1292.04,289.77,15.17,84.83
2025-01-11,January,Q1,2025,SIA,SQ,Star Air,XX,USD,262,115290.00,6917.40,1960.00,97352.11,5841.10,1704.25,17937.89,1076.30,255.75,15.56,84.44
2025-09-11,September,Q3,2025,Air France,AF,Star Air,XX,USD,245,225790.00,13547.40,5185.00,192132.69,11527.90,4538.42,33657.31,2019.50,646.58,14.91,85.09
2025-09-11,September,Q3,2025,Vietnam Airlines,VN,Star Air,XX,USD,1,700.00,42.00,0.00,595.43,35.73,0.00,104.57,6.27,0.00,14.94,85.06
2025-09-11,September,Q3,2025,JetBlue,B6,Star Air,XX,USD,231,300770.00,18046.20,7000.00,252813.52,15168.77,5895.38,47956.48,2877.43,1104.62,15.94,84.06
2025-09-11,September,Q3,2025,Qantas,QF,Star Air,XX,USD,491,390965.00,23457.90,6355.00,330382.91,19823.03,5320.37,60582.09,3634.87,1034.63,15.50,84.50
2025-09-11,September,Q3,2025,Emirates,EK,Star Air,XX,USD,499,154210.00,9252.60,2210.00,130089.88,7805.46,1876.94,24120.12,1447.14,333.06,15.64,84.36
2025-09-11,September,Q3,2025,PIA,PK,Star Air,XX,USD,257,77805.00,4668.30,930.00,65986.56,3959.15,786.87,11818.45,709.15,143.13,15.19,84.81
2025-09-11,September,Q3,2025,Air Canada,AC,Star Air,XX,USD,262,76195.00,4571.70,1095.00,63947.68,3836.85,908.03,12247.32,734.85,186.97,16.07,83.93
2025-01-21,January,Q1,2025,Jet Airways,9W,Star Air,XX,USD,256,72540.00,4352.40,1175.00,61283.48,3677.07,983.66,11256.52,675.33,191.34,15.52,84.48
2025-01-21,January,Q1,2025,Air New Zealand,NZ,Star Air,XX,USD,505,269335.00,16160.10,4500.00,229634.54,13778.04,3870.35,39700.46,2382.06,629.65,14.74,85.26
2025-01-21,January,Q1,2025,JetBlue,B6,Star Air,XX,USD,244,312750.00,18765.00,5590.00,264913.76,15894.84,4635.89,47836.24,2870.16,954.11,15.30,84.70
2025-01-13,January,Q1,2025,Qantas,QF,Star Air,XX,USD,725,522945.00,31376.70,6925.00,438956.10,26337.29,5867.77,83988.90,5039.41,1057.23,16.06,83.94
2025-01-13,January,Q1,2025,Jet Airways,9W,Star Air,XX,USD,262,65020.00,3901.20,850.00,55176.08,3310.60,724.14,9843.92,590.60,125.86,15.14,84.86
2025-01-21,January,Q1,2025,Qantas,QF,Star Air,XX,USD,514,285025.00,17101.50,4465.00,239571.10,14374.26,3785.03,45453.90,2727.24,679.97,15.95,84.05
2025-01-21,January,Q1,2025,Emirates,EK,Star Air,XX,USD,266,72705.00,4362.30,1090.00,62236.33,3734.11,946.42,10468.68,628.19,143.58,14.40,85.60
2025-01-13,January,Q1,2025,Air India,AI,Star Air,XX,USD,246,62955.00,3777.30,940.00,53450.16,3207.07,784.56,9504.85,570.23,155.44,15.10,84.90
2025-01-13,January,Q1,2025,Emirates,EK,Star Air,XX,USD,258,71600.00,4296.00,1575.00,60922.56,3655.28,1352.31,10677.44,640.72,222.69,14.91,85.09
2025-05-23,May,Q2,2025,Qantas,QF,Star Air,XX,USD,1274,747470.00,44848.20,10260.00,635313.57,38118.85,8822.35,112156.43,6729.35,1437.65,15.00,85.00
2025-05-23,May,Q2,2025,Jet Airways,9W,Star Air,XX,USD,254,81120.00,4867.20,1025.00,68013.85,4080.90,869.93,13106.15,786.30,155.07,16.16,83.84
2025-01-21,January,Q1,2025,Air Canada,AC,Star Air,XX,USD,258,73560.00,4413.60,1325.00,62513.88,3750.76,1128.78,11046.12,662.84,196.22,15.02,84.98
2025-05-23,May,Q2,2025,Air New Zealand,NZ,Star Air,XX,USD,472,305045.00,18302.70,5665.00,252978.88,15178.77,4662.74,52066.12,3123.93,1002.26,17.07,82.93
2025-05-23,May,Q2,2025,SIA,SQ,Star Air,XX,USD,250,121485.00,7289.10,1835.00,103611.47,6216.75,1526.99,17873.53,1072.35,308.01,14.71,85.29
2025-05-23,May,Q2,2025,Air Canada,AC,Star Air,XX,USD,239,84190.00,5051.40,1170.00,70409.82,4224.62,983.72,13780.18,826.78,186.28,16.37,83.63
2025-09-27,September,Q3,2025,Air India,AI,Star Air,XX,USD,240,89420.00,5365.20,1155.00,74796.11,4487.75,959.32,14623.89,877.45,195.68,16.35,83.65
2025-09-27,September,Q3,2025,Jet Airways,9W,Star Air,XX,USD,243,72100.00,4326.00,1610.00,61282.38,3677.06,1369.05,10817.62,648.94,240.95,15.00,85.00
2025-09-27,September,Q3,2025,American Airlines,AA,Star Air,XX,USD,251,291120.00,17467.20,3620.00,245070.70,14704.26,3015.62,46049.30,2762.94,604.38,15.82,84.18
2025-09-27,September,Q3,2025,British Airways,BA,Star Air,XX,USD,240,135040.00,8102.40,1860.00,116190.09,6971.38,1547.22,18849.91,1131.02,312.78,13.96,86.04
2025-09-27,September,Q3,2025,Emirates,EK,Star Air,XX,USD,242,71170.00,4270.20,920.00,59765.67,3585.86,770.40,11404.33,684.34,149.60,16.02,83.98
2025-09-27,September,Q3,2025,Air Canada,AC,Star Air,XX,USD,223,65675.00,3940.50,965.00,56182.73,3370.98,812.14,9492.27,569.52,152.86,14.45,85.55
2025-09-27,September,Q3,2025,SIA,SQ,Star Air,XX,USD,246,115320.00,6919.20,1245.00,97430.45,5845.76,1045.94,17889.55,1073.44,199.06,15.51,84.49
2025-09-27,September,Q3,2025,Qantas,QF,Star Air,XX,USD,237,308970.00,18538.20,5045.00,261723.65,15703.31,4307.25,47246.35,2834.89,737.75,15.29,84.71
2025-05-07,May,Q2,2025,Qantas,QF,Star Air,XX,USD,490,484185.00,29051.10,7490.00,410317.64,24618.98,6231.86,73867.36,4432.12,1258.14,15.26,84.74
2025-05-24,May,Q2,2025,Jet Airways,9W,Star Air,XX,USD,252,76825.00,4609.50,1250.00,64037.30,3842.25,1060.34,12787.70,767.25,189.66,16.65,83.35
2025-05-24,May,Q2,2025,PIA,PK,Star Air,XX,USD,230,72385.00,4343.10,750.00,61378.43,3682.64,652.11,11006.57,660.46,97.89,15.21,84.79
2025-05-07,May,Q2,2025,Emirates,EK,Star Air,XX,USD,243,76725.00,4603.50,1310.00,64297.11,3857.81,1097.22,12427.89,745.69,212.78,16.20,83.80
2025-05-24,May,Q2,2025,Emirates,EK,Star Air,XX,USD,699,221265.00,13275.90,2900.00,187814.07,11268.85,2480.20,33450.93,2007.05,419.80,15.12,84.88
2025-05-24,May,Q2,2025,Air Canada,AC,Star Air,XX,USD,464,141655.00,8499.30,2240.00,120606.01,7236.33,1935.07,21048.99,1262.97,304.93,14.86,85.14
2025-05-07,May,Q2,2025,British Airways,BA,Star Air,XX,USD,252,140185.00,8411.10,1940.00,118591.02,7115.39,1659.67,21593.98,1295.71,280.33,15.40,84.60
2025-05-24,May,Q2,2025,American Airlines,AA,Star Air,XX,USD,245,302725.00,18163.50,3970.00,255865.94,15351.99,3340.09,46859.06,2811.51,629.91,15.48,84.52
2025-05-24,May,Q2,2025,Qantas,QF,Star Air,XX,USD,232,301420.00,18085.20,6530.00,256453.70,14853.94,5653.84,44966.30,3231.26,876.16,14.92,85.08
2025-05-24,May,Q2,2025,SIA,SQ,Star Air,XX,USD,270,119015.00,7140.90,1045.00,100142.67,5373.22,872.67,18872.33,1767.68,172.33,15.86,84.14
2025-05-24,May,Q2,2025,Vietnam Airlines,VN,Star Air,XX,USD,1,875.00,52.50,0.00,777.62,46.66,0.00,97.38,5.84,0.00,11.13,88.87
2025-05-24,May,Q2,2025,SriLankan,UL,Star Air,XX,USD,1,830.00,49.80,0.00,653.45,39.21,0.00,176.55,10.59,0.00,21.27,78.73
2025-05-07,May,Q2,2025,American Airlines,AA,Star Air,XX,USD,246,285335.00,17120.10,3480.00,242876.38,12659.44,2993.99,42458.62,4460.66,486.01,14.88,85.12
2025-12-17,December,Q4,2025,Thai Airways International,TG,Star Air,XX,USD,247,153340.00,9200.40,1135.00,129743.79,7784.65,1805.16,23596.21,1415.75,-670.16,15.39,84.61
2025-03-12,March,Q1,2025,Thai Airways International,TG,Star Air,XX,USD,263,176945.00,10616.70,2855.00,150174.23,9010.46,2482.81,26770.77,1606.24,372.19,15.13,84.87
2025-03-12,March,Q1,2025,Qantas,QF,Star Air,XX,USD,780,853915.00,51234.90,12985.00,714846.95,42890.66,10874.14,139068.05,8344.24,2110.86,16.29,83.71
2025-03-12,March,Q1,2025,Vietnam Airlines,VN,Star Air,XX,USD,1,815.00,48.90,0.00,654.65,39.28,0.00,160.35,9.62,0.00,19.67,80.33
2025-03-12,March,Q1,2025,British Airways,BA,Star Air,XX,USD,252,128500.00,7710.00,1940.00,108069.32,6484.14,1622.70,20430.68,1225.86,317.30,15.90,84.10
2025-03-12,March,Q1,2025,Emirates,EK,Star Air,XX,USD,242,70455.00,4227.30,870.00,59583.09,3574.95,713.67,10871.91,652.35,156.33,15.43,84.57
2025-03-12,March,Q1,2025,American Airlines,AA,Star Air,XX,USD,267,284340.00,17060.40,4105.00,240078.92,14404.73,3449.89,44261.08,2655.67,655.11,15.57,84.43
2025-03-12,March,Q1,2025,Air Canada,AC,Star Air,XX,USD,256,70675.00,4240.50,1020.00,60117.63,3607.09,866.08,10557.37,633.41,153.92,14.94,85.06
2025-06-04,June,Q2,2025,Qantas,QF,Star Air,XX,USD,730,836415.00,50184.90,11035.00,706245.76,41841.69,9195.01,130169.24,8343.21,1839.99,15.56,84.44
2025-06-04,June,Q2,2025,Vietnam Airlines,VN,Star Air,XX,USD,1,360.00,21.60,0.00,353.04,21.18,0.00,6.96,0.42,0.00,1.93,98.07
2025-06-04,June,Q2,2025,PIA,PK,Star Air,XX,USD,243,84275.00,5056.50,1200.00,71113.87,4063.48,1018.04,13161.13,993.02,181.96,15.62,84.38
2025-12-02,December,Q4,2025,Jet Airways,9W,Star Air,XX,USD,505,134515.00,8070.90,12820.00,113980.80,6838.92,1483.95,20534.20,1231.98,11336.05,15.27,84.73
2025-11-14,November,Q4,2025,Air New Zealand,NZ,Star Air,XX,USD,250,195970.00,11758.20,3315.00,166820.57,10009.20,1754.99,29149.43,1749.00,1560.01,14.87,85.13
2025-12-02,December,Q4,2025,Thai Airways International,TG,Star Air,XX,USD,270,163790.00,9827.40,960.00,137522.28,8251.34,1786.78,26267.72,1576.06,-826.78,16.04,83.96
2025-11-14,November,Q4,2025,Qantas,QF,Star Air,XX,USD,489,272405.00,16344.30,5995.00,230322.96,13819.34,3121.58,42082.04,2524.96,2873.42,15.45,84.55
2025-11-14,November,Q4,2025,Jet Airways,9W,Star Air,XX,USD,262,72120.00,4327.20,475.00,61347.10,3680.77,874.66,10772.90,646.43,-399.66,14.94,85.06
2025-03-13,March,Q1,2025,Thai Airways International,TG,Star Air,XX,USD,252,160170.00,9610.20,2795.00,135302.29,8118.16,2386.84,24867.71,1492.04,408.16,15.53,84.47
2025-03-13,March,Q1,2025,Air France,AF,Star Air,XX,USD,261,229890.00,13793.40,2595.00,195397.02,11723.79,2165.65,34492.98,2069.61,429.35,15.00,85.00
2025-03-13,March,Q1,2025,Qantas,QF,Star Air,XX,USD,256,199950.00,11997.00,2850.00,170075.16,10204.45,2459.76,29874.84,1792.55,390.24,14.94,85.06
2025-03-13,March,Q1,2025,Air Mauritius,MK,Star Air,XX,USD,264,160225.00,9613.50,1590.00,135795.15,8147.68,1366.03,24429.85,1465.82,223.97,15.25,84.75
2025-03-13,March,Q1,2025,PIA,PK,Star Air,XX,USD,238,68745.00,4124.70,1150.00,58104.43,3486.15,970.92,10640.57,638.55,179.08,15.48,84.52
2025-03-13,March,Q1,2025,American Airlines,AA,Star Air,XX,USD,266,270820.00,16249.20,4915.00,227945.87,13676.77,4149.83,42874.13,2572.43,765.17,15.83,84.17
2025-03-13,March,Q1,2025,Emirates,EK,Star Air,XX,USD,259,74265.00,4455.90,1055.00,63118.34,3787.04,894.44,11146.66,668.86,160.56,15.01,84.99
2025-03-13,March,Q1,2025,Air Canada,AC,Star Air,XX,USD,259,73810.00,4428.60,1060.00,62703.23,3762.28,882.41,11106.77,666.32,177.59,15.05,84.95
2025-04-07,April,Q2,2025,Qantas,QF,Star Air,XX,USD,469,225115.00,13506.90,3265.00,190790.44,11447.43,2780.33,34324.56,2059.47,484.67,15.25,84.75
2025-04-28,April,Q2,2025,Qantas,QF,Star Air,XX,USD,454,224855.00,13491.30,3240.00,190138.25,11408.26,2753.48,34716.75,2083.04,486.52,15.44,84.56
2025-04-28,April,Q2,2025,Siberia Airlines,S7,Star Air,XX,USD,1,1070.00,64.20,0.00,847.69,50.86,0.00,222.31,13.34,0.00,20.78,79.22
2025-04-07,April,Q2,2025,Jet Airways,9W,Star Air,XX,USD,236,68365.00,4101.90,1525.00,58247.95,3494.93,1270.77,10117.05,606.97,254.23,14.80,85.20
2025-04-28,April,Q2,2025,Jet Airways,9W,Star Air,XX,USD,239,70560.00,4233.60,1070.00,59705.63,3582.45,922.06,10854.37,651.15,147.94,15.38,84.62
2025-04-07,April,Q2,2025,Air Mauritius,MK,Star Air,XX,USD,253,178460.00,10707.60,4460.00,152347.55,9140.86,3797.22,26112.45,1566.74,662.78,14.63,85.37
2025-04-28,April,Q2,2025,Air Mauritius,MK,Star Air,XX,USD,239,168730.00,10123.80,2040.00,142726.78,8563.55,1742.91,26003.22,1560.25,297.09,15.41,84.59
2025-04-07,April,Q2,2025,Emirates,EK,Star Air,XX,USD,498,150705.00,9042.30,2370.00,127584.56,7654.97,1985.18,23120.44,1387.33,384.82,15.34,84.66
2025-04-07,April,Q2,2025,Air India,AI,Star Air,XX,USD,255,71150.00,4269.00,1040.00,60298.89,3668.57,902.57,10851.11,600.43,137.43,15.25,84.75
2025-04-28,April,Q2,2025,Air India,AI,Star Air,XX,USD,256,84725.00,5083.50,1395.00,71746.53,4039.06,1143.07,12978.47,1044.44,251.93,15.32,84.68
2025-09-18,September,Q3,2025,Qantas,QF,Star Air,XX,USD,717,541305.00,32478.30,8800.00,453809.38,27228.62,7337.29,87495.62,5249.68,1462.71,16.16,83.84
2025-09-18,September,Q3,2025,Thai Airways International,TG,Star Air,XX,USD,246,164920.00,9895.20,2535.00,140067.29,8404.03,2103.58,24852.71,1491.17,431.42,15.07,84.93
2025-09-18,September,Q3,2025,JetBlue,B6,Star Air,XX,USD,157,217815.00,13068.90,3385.00,182449.48,10946.96,2794.45,35365.53,2121.94,590.55,16.24,83.76
2025-09-18,September,Q3,2025,Air India,AI,Star Air,XX,USD,242,68605.00,4116.30,830.00,58445.48,3506.74,715.11,10159.52,609.56,114.89,14.81,85.19
2025-09-18,September,Q3,2025,Air Canada,AC,Star Air,XX,USD,263,74220.00,4453.20,1295.00,62467.19,3748.11,1084.22,11752.81,705.09,210.78,15.84,84.16
2025-12-24,December,Q4,2025,Thai Airways International,TG,Star Air,XX,USD,245,156150.00,9369.00,1085.00,130193.08,7811.61,1559.60,25956.92,1557.39,-474.60,16.62,83.38
2025-12-17,December,Q4,2025,Air India,AI,Star Air,XX,USD,228,67350.00,4041.00,11620.00,56668.59,3400.12,876.61,10681.41,640.88,10743.39,15.86,84.14
2025-12-17,December,Q4,2025,Qantas,QF,Star Air,XX,USD,987,1055780.00,63346.80,23530.00,891936.82,53516.22,13059.95,163843.18,9830.58,10470.05,15.52,84.48
2025-12-17,December,Q4,2025,Emirates,EK,Star Air,XX,USD,478,133545.00,8012.70,2665.00,112612.59,6756.59,1614.01,20932.41,1256.11,1050.99,15.67,84.33
2025-12-17,December,Q4,2025,British Airways,BA,Star Air,XX,USD,241,116450.00,6987.00,5610.00,97561.07,5853.61,1387.09,18888.93,1133.39,4222.91,16.22,83.78
2025-12-17,December,Q4,2025,Air Canada,AC,Star Air,XX,USD,254,73290.00,4397.40,1305.00,62350.44,3741.00,773.67,10939.56,656.40,531.33,14.93,85.07
2026-03-07,March,Q1,2026,Air India,AI,Star Air,XX,USD,219,72825.00,4369.50,1040.00,61206.45,3672.36,892.75,11618.55,697.14,147.25,15.95,84.05
2026-03-07,March,Q1,2026,Thai Airways International,TG,Star Air,XX,USD,250,154885.00,9293.10,2290.00,130391.03,7823.53,1929.63,24493.97,1469.57,360.37,15.81,84.19
2026-03-13,March,Q1,2026,JetBlue,B6,Star Air,XX,USD,245,337145.00,20228.70,4430.00,287925.61,17275.55,3772.85,49219.39,2953.15,657.15,14.60,85.40
2026-03-13,March,Q1,2026,Jet Airways,9W,Star Air,XX,USD,236,63145.00,3788.70,1090.00,53523.80,3211.41,953.26,9621.20,577.29,136.74,15.24,84.76
2026-03-13,March,Q1,2026,Thai Airways International,TG,Star Air,XX,USD,230,139065.00,8343.90,1650.00,117336.65,7040.23,1383.81,21728.35,1303.67,266.19,15.62,84.38
2026-03-07,March,Q1,2026,Qantas,QF,Star Air,XX,USD,963,901900.00,54114.00,10205.00,759222.53,45553.29,8536.19,142677.47,8560.71,1668.81,15.82,84.18
2026-03-13,March,Q1,2026,American Airlines,AA,Star Air,XX,USD,476,534575.00,32074.50,7475.00,450367.76,27022.07,6432.09,84207.24,5052.43,1042.91,15.75,84.25
2026-03-07,March,Q1,2026,PIA,PK,Star Air,XX,USD,216,65810.00,3948.60,885.00,55386.23,3323.25,744.93,10423.77,625.35,140.07,15.84,84.16
2026-03-13,March,Q1,2026,Air Mauritius,MK,Star Air,XX,USD,235,154145.00,9248.70,3060.00,131018.36,7861.06,2641.25,23126.64,1387.64,418.75,15.00,85.00
2026-03-13,March,Q1,2026,Qantas,QF,Star Air,XX,USD,476,469475.00,28168.50,7810.00,402007.01,24120.43,6823.49,67467.99,4048.07,986.51,14.37,85.63
2026-03-13,March,Q1,2026,Air Canada,AC,Star Air,XX,USD,210,62100.00,3726.00,800.00,52422.66,3145.31,651.42,9677.34,580.69,148.58,15.58,84.42
2026-03-07,March,Q1,2026,Emirates,EK,Star Air,XX,USD,480,135895.00,8153.70,1965.00,115630.97,6937.76,1676.54,20264.03,1215.94,288.46,14.91,85.09
2026-03-07,March,Q1,2026,British Airways,BA,Star Air,XX,USD,244,108990.00,6539.40,1615.00,92110.84,5526.62,1361.54,16879.16,1012.78,253.46,15.49,84.51
2026-03-13,March,Q1,2026,Emirates,EK,Star Air,XX,USD,243,69065.00,4143.90,855.00,58203.08,3492.16,741.28,10861.92,651.74,113.72,15.73,84.27
2025-11-14,November,Q4,2025,Thai Airways International,TG,Star Air,XX,USD,251,159670.00,9580.20,14260.00,137493.58,8249.65,2303.05,22176.42,1330.55,11956.95,13.89,86.11
2025-12-02,December,Q4,2025,Qantas,QF,Star Air,XX,USD,467,312485.00,18749.10,3105.00,266151.71,15969.09,3709.16,46333.29,2780.01,-604.16,14.83,85.17
2025-11-24,November,Q4,2025,Jet Airways,9W,Star Air,XX,USD,244,63705.00,3822.30,12340.00,53896.16,3233.76,813.53,9808.84,588.54,11526.47,15.40,84.60
2025-11-24,November,Q4,2025,Qantas,QF,Star Air,XX,USD,452,350635.00,21038.10,2365.00,296479.69,17788.70,2847.40,54155.31,3249.40,-482.40,15.44,84.56
2025-11-24,November,Q4,2025,Air Mauritius,MK,Star Air,XX,USD,243,152835.00,9170.10,19815.00,129686.81,7781.18,1919.86,23148.19,1388.92,17895.14,15.15,84.85
2025-12-02,December,Q4,2025,SIA,SQ,Star Air,XX,USD,244,103095.00,6185.70,1230.00,88220.45,5293.22,1442.45,14874.55,892.48,-212.45,14.43,85.57
2025-12-02,December,Q4,2025,PIA,PK,Star Air,XX,USD,254,75035.00,4502.10,515.00,63134.49,3788.00,983.80,11900.51,714.10,-468.80,15.86,84.14
2025-11-24,November,Q4,2025,Air India,AI,Star Air,XX,USD,250,70705.00,4242.30,425.00,59803.82,3588.20,682.07,10901.18,654.10,-257.07,15.42,84.58
2025-11-24,November,Q4,2025,Emirates,EK,Star Air,XX,USD,233,69020.00,4141.20,730.00,58154.55,3489.21,851.08,10865.45,651.99,-121.08,15.74,84.26
2025-12-02,December,Q4,2025,Air Mauritius,MK,Star Air,XX,USD,249,150920.00,9055.20,1170.00,128787.69,7727.28,1645.04,22132.31,1327.92,-475.04,14.66,85.34
2026-03-14,March,Q1,2026,Qantas,QF,Star Air,XX,USD,735,675350.00,40521.00,9940.00,568687.74,34121.19,8276.67,106662.26,6399.81,1663.33,15.79,84.21
2026-03-14,March,Q1,2026,Thai Airways International,TG,Star Air,XX,USD,257,165150.00,9909.00,2135.00,141094.48,8465.72,1806.48,24055.52,1443.28,328.52,14.57,85.43
2026-03-14,March,Q1,2026,PIA,PK,Star Air,XX,USD,230,73220.00,4393.20,790.00,62319.32,3739.11,676.55,10900.68,654.09,113.45,14.89,85.11
