Settlement_Date,month_name,quarter_label,year,Carrier_Name,Carrier_Code,Currency,Sales_Value,Sales_Commission,Sales_Discount,Sales_Tax,Sales_Ticket_Count,Billing_Value,Billing_Commission,Billing_Discount,Billing_Ticket_Count,Settlement_Value,Settlement_Commission,Settlement_Discount,Rejected_Value,Rejected_Commission,Settlement_Diff,Settlement_Diff_Pct,FX_Variance,Acceptance_Rate_Pct
2025-06-20,June,Q2,2025,Star Air,XX,USD,393115.00,23586.90,8513.00,40948.81,397,997590.00,59855.40,16475.00,1912,845512.30,50730.77,13828.31,152077.71,9124.63,152077.70,15.24,-604475.00,84.76
2025-04-29,April,Q2,2025,Star Air,XX,USD,503912.00,30234.72,7492.00,53177.04,502,1182325.00,70939.50,16965.00,2194,1000579.23,59060.42,14309.61,181745.77,11879.08,181745.77,15.37,-678413.00,84.63
2025-09-19,September,Q3,2025,Star Air,XX,USD,631268.00,37876.08,11678.00,65356.86,664,601580.00,36094.80,8790.00,1207,506966.67,30417.95,7386.13,94613.33,5676.85,94613.33,15.73,29688.00,84.27
2025-11-30,November,Q4,2025,Star Air,XX,USD,69375.00,4162.50,964.00,7117.08,70,1660040.00,99602.40,43095.00,2421,1407381.94,84442.71,20226.82,252658.07,15159.69,252658.06,15.22,-1590665.00,84.78
2025-02-19,February,Q1,2025,Star Air,XX,USD,100050.00,6003.00,1214.00,10419.81,102,2020580.00,121234.80,28950.00,3093,1712453.90,102747.02,24763.72,308126.10,18487.78,308126.10,15.25,-1920530.00,84.75
2025-05-15,May,Q2,2025,Star Air,XX,USD,471059.00,28263.54,6702.00,48858.57,468,1288310.00,77298.60,20740.00,1606,1086087.66,65162.56,17265.07,202222.34,12136.04,202222.34,15.70,-817251.00,84.30
2025-09-23,September,Q3,2025,Star Air,XX,USD,693999.00,41639.94,14881.00,71980.77,757,1240140.00,74408.40,16770.00,1957,1054924.78,63295.53,14165.92,185215.22,11112.87,185215.22,14.94,-546141.00,85.06
2025-12-24,December,Q4,2025,Star Air,XX,USD,62233.00,3733.98,1634.00,6635.42,61,1644885.00,98693.10,49905.00,2669,1395300.65,83718.15,20477.31,249584.35,14974.95,249584.35,15.17,-1582652.00,84.83
2026-02-10,February,Q1,2026,Star Air,XX,USD,41825.00,2509.50,864.00,4367.27,41,1091025.00,65461.50,17215.00,2192,923446.52,55406.44,14643.89,167578.48,10055.06,167578.48,15.36,-1049200.00,84.64
2025-12-08,December,Q4,2025,Star Air,XX,USD,59750.00,3585.00,761.00,6154.57,67,1018940.00,61136.40,38795.00,1971,863216.43,51793.21,14407.04,155723.57,9343.19,155723.57,15.28,-959190.00,84.72
2025-12-22,December,Q4,2025,Star Air,XX,USD,61978.00,3718.68,865.00,6462.53,66,137305.00,8238.30,1550.00,254,117602.17,7056.08,1773.04,19702.83,1182.22,19702.83,14.35,-75327.00,85.65
2026-02-27,February,Q1,2026,Star Air,XX,USD,47898.00,2873.88,99.00,4956.18,37,587980.00,35278.80,8750.00,1270,496767.63,29806.30,7323.81,91212.37,5472.50,91212.37,15.51,-540082.00,84.49
2026-03-18,March,Q1,2026,Star Air,XX,USD,29063.00,1743.78,227.00,2932.84,22,1540270.00,92416.20,23285.00,2160,1306541.86,78392.33,19702.19,233728.14,14023.87,233728.14,15.17,-1511207.00,84.83
2025-12-20,December,Q4,2025,Star Air,XX,USD,54922.00,3295.32,1493.00,5591.97,58,1438225.00,86293.50,71405.00,2173,1214006.70,72840.54,19345.80,224218.30,13452.96,224218.30,15.59,-1383303.00,84.41
2026-03-26,March,Q1,2026,Star Air,XX,USD,7084.00,425.04,0.00,665.22,6,1065770.00,63946.20,14550.00,2191,900496.16,54029.62,12320.51,165273.84,9916.58,165273.84,15.51,-1058686.00,84.49
2026-02-23,February,Q1,2026,Star Air,XX,USD,33248.00,1994.88,549.00,3441.80,34,278265.00,16695.90,4680.00,729,235521.03,14131.24,3989.75,42743.97,2564.66,42743.97,15.36,-245017.00,84.64
2026-03-14,March,Q1,2026,Star Air,XX,USD,25627.00,1537.62,478.00,2703.47,20,913720.00,54823.20,12865.00,1222,772101.54,46326.02,10759.70,141618.46,8497.18,141618.46,15.50,-888093.00,84.50
2026-02-06,February,Q1,2026,Star Air,XX,USD,60249.00,3614.94,403.00,6266.54,53,978445.00,58706.70,13100.00,2151,829116.57,49746.82,11151.14,149328.43,8959.88,149328.43,15.26,-918196.00,84.74
2026-01-29,January,Q1,2026,Star Air,XX,USD,64691.00,3881.46,1243.00,6851.92,57,1202330.00,72139.80,18690.00,2215,1017694.59,61061.61,15795.68,184635.41,11078.19,184635.41,15.36,-1137639.00,84.64
2026-03-02,March,Q1,2026,Star Air,XX,USD,35000.00,2100.00,710.00,3613.93,33,1101045.00,66062.70,17500.00,1928,935434.92,56125.83,14939.35,165610.08,9936.87,165610.08,15.04,-1066045.00,84.96
2025-03-18,March,Q1,2025,Star Air,XX,USD,90245.00,5414.70,1625.00,9503.50,87,1108585.00,66515.10,17515.00,2282,937895.13,56273.55,14739.48,170689.87,10241.55,170689.87,15.40,-1018340.00,84.60
2025-02-18,February,Q1,2025,Star Air,XX,USD,118005.00,7080.30,3089.00,12405.23,109,1194825.00,71689.50,18060.00,2751,1010389.47,60623.60,15179.41,184435.53,11065.90,184435.53,15.44,-1076820.00,84.56
2025-01-01,January,Q1,2025,Star Air,XX,USD,131676.00,7900.56,2006.00,13669.80,136,1116445.00,66986.70,18165.00,2201,950501.39,57030.01,15313.26,165943.61,9956.69,165943.61,14.86,-984769.00,85.14
2025-05-25,May,Q2,2025,Star Air,XX,USD,410431.00,24625.86,8440.00,42518.10,395,2120705.00,127242.30,33115.00,2383,1778234.78,106693.86,27751.51,342470.23,20548.44,342470.22,16.15,-1710274.00,83.85
2025-09-04,September,Q3,2025,Star Air,XX,USD,554740.00,33284.40,15539.00,57533.19,532,850030.00,51001.80,12775.00,1662,718538.42,43112.22,10681.24,131491.58,7889.58,131491.58,15.47,-295290.00,84.53
2025-05-31,May,Q2,2025,Star Air,XX,USD,421329.00,25279.74,7650.00,44597.60,439,2165695.00,129941.70,31225.00,2917,1831595.10,111886.63,26232.47,334099.90,18055.07,334099.90,15.43,-1744366.00,84.57
2025-04-07,April,Q2,2025,Star Air,XX,USD,628317.00,37699.02,10158.00,65783.07,632,693795.00,41627.70,12660.00,1711,589269.39,35406.76,10736.07,104525.61,6220.94,104525.61,15.07,-65478.00,84.93
2025-08-22,August,Q3,2025,Star Air,XX,USD,458568.00,27514.08,11830.00,47773.51,493,537395.00,32243.70,8405.00,1018,451517.27,27091.03,7146.85,85877.73,5152.67,85877.73,15.98,-78827.00,84.02
2025-04-24,April,Q2,2025,Star Air,XX,USD,533855.00,32031.30,11722.00,56032.95,537,1434590.00,86075.40,24940.00,2166,1213482.52,72388.67,20897.99,221107.48,13686.73,221107.48,15.41,-900735.00,84.59
2025-06-25,June,Q2,2025,Star Air,XX,USD,438568.00,26314.08,12765.00,46351.78,412,1341750.00,80505.00,21470.00,1937,1134144.62,67733.30,18196.42,207605.38,12771.70,207605.38,15.47,-903182.00,84.53
2025-06-28,June,Q2,2025,Star Air,XX,USD,366852.00,22011.12,10700.00,38659.19,379,1973160.00,118389.60,31880.00,2636,1673970.05,100206.54,26864.08,299189.96,18183.06,299189.95,15.16,-1606308.00,84.84
2025-08-27,August,Q3,2025,Star Air,XX,USD,488507.00,29310.42,9384.00,50454.04,516,1060930.00,63655.80,14185.00,1473,899876.07,53992.59,12110.74,161053.94,9663.21,161053.93,15.18,-572423.00,84.82
2025-09-08,September,Q3,2025,Star Air,XX,USD,558164.00,33489.84,13138.00,58220.74,591,938495.00,56309.70,15130.00,1500,797977.84,47878.48,13047.59,140517.16,8431.22,140517.16,14.97,-380331.00,85.03
2025-07-14,July,Q3,2025,Star Air,XX,USD,366995.00,22019.70,10798.00,37884.27,364,802755.00,48165.30,11705.00,1223,682556.49,40953.54,10041.74,120198.51,7211.76,120198.51,14.97,-435760.00,85.03
2025-01-27,January,Q1,2025,Star Air,XX,USD,124185.00,7451.10,1202.00,12942.20,134,819160.00,49149.60,13255.00,1507,696541.57,41792.39,11336.96,122618.43,7357.21,122618.43,14.97,-694975.00,85.03
2025-01-29,January,Q1,2025,Star Air,XX,USD,130864.00,7851.84,1724.00,13549.98,121,1695175.00,101710.50,26745.00,2253,1429593.82,85775.70,22473.29,265581.18,15934.80,265581.18,15.67,-1564311.00,84.33
2025-06-19,June,Q2,2025,Star Air,XX,USD,393483.00,23608.98,6508.00,41382.28,398,1270250.00,76215.00,16010.00,2206,1075421.38,64196.73,13637.31,194828.62,12018.27,194828.62,15.34,-876767.00,84.66
2025-04-27,April,Q2,2025,Star Air,XX,USD,527524.00,31651.44,6895.00,55328.70,499,1429380.00,85762.80,23510.00,2197,1210179.66,71567.02,19855.74,219200.34,14195.78,219200.34,15.34,-901856.00,84.66
2025-05-10,May,Q2,2025,Star Air,XX,USD,489649.00,29378.94,10084.00,50960.12,465,1774330.00,106459.80,27300.00,2376,1508707.21,88625.56,22998.75,265622.79,17834.24,265622.79,14.97,-1284681.00,85.03
2025-05-14,May,Q2,2025,Star Air,XX,USD,451769.00,27106.14,9244.00,47179.30,457,1641965.00,98517.90,23980.00,2391,1389158.56,82706.26,20326.74,252806.45,15811.64,252806.44,15.40,-1190196.00,84.60
2025-06-16,June,Q2,2025,Star Air,XX,USD,397708.00,23862.48,9783.00,41752.83,401,422510.00,25350.60,6215.00,748,357706.21,21462.37,5208.11,64803.79,3888.23,64803.79,15.34,-24802.00,84.66
2025-05-24,May,Q2,2025,Star Air,XX,USD,453600.00,27216.00,9161.00,47468.45,439,1236995.00,74219.70,18685.00,2394,1047729.19,61695.09,15994.32,189265.81,12524.61,189265.81,15.30,-783395.00,84.70
2025-11-28,November,Q4,2025,Star Air,XX,USD,71052.00,4263.12,1194.00,7505.86,75,1245255.00,74715.30,91355.00,2701,1052268.76,63136.09,16234.45,192986.25,11579.21,192986.24,15.50,-1174203.00,84.50
2025-11-14,November,Q4,2025,Star Air,XX,USD,61763.00,3705.78,1281.00,6606.04,60,700165.00,42009.90,24045.00,1252,595984.21,35758.96,8054.28,104180.79,6250.94,104180.79,14.88,-638402.00,85.12
2025-03-15,March,Q1,2025,Star Air,XX,USD,96715.00,5802.90,1229.00,9827.82,96,1285245.00,77114.70,20100.00,2514,1087878.99,65273.03,16930.64,197366.01,11841.67,197366.01,15.36,-1188530.00,84.64
2025-03-24,March,Q1,2025,Star Air,XX,USD,83023.00,4981.38,2074.00,8549.73,82,540345.00,32420.70,6965.00,753,457739.37,27464.52,5949.62,82605.63,4956.18,82605.63,15.29,-457322.00,84.71
2025-02-01,February,Q1,2025,Star Air,XX,USD,107291.00,6437.46,1539.00,11360.86,111,1736990.00,104219.40,26940.00,2557,1469058.96,88143.84,22782.52,267931.04,16075.56,267931.04,15.43,-1629699.00,84.57
2025-01-04,January,Q1,2025,Star Air,XX,USD,109479.00,6568.74,1180.00,11369.64,115,863960.00,51837.60,13790.00,1980,731887.85,43912.89,11684.99,132072.15,7924.71,132072.15,15.29,-754481.00,84.71
2025-04-18,April,Q2,2025,Star Air,XX,USD,533594.00,32015.64,10736.00,55189.93,538,971795.00,58307.70,13630.00,1700,823690.87,49421.37,11585.70,148104.13,8886.33,148104.13,15.24,-438201.00,84.76
2025-06-27,June,Q2,2025,Star Air,XX,USD,354999.00,21299.94,6360.00,37097.10,380,971450.00,58287.00,15555.00,1925,822792.46,49367.76,13004.65,148657.54,8919.24,148657.54,15.30,-616451.00,84.70
2025-04-22,April,Q2,2025,Star Air,XX,USD,539285.00,32357.10,9329.00,55930.34,548,1601595.00,96095.70,24955.00,2904,1353812.99,80029.10,21032.70,247782.01,16066.60,247782.01,15.47,-1062310.00,84.53
2025-06-14,June,Q2,2025,Star Air,XX,USD,390845.00,23450.70,8239.00,40957.19,393,829130.00,49747.80,11705.00,1423,701098.44,41192.47,9985.84,128031.56,8555.33,128031.56,15.44,-438285.00,84.56
2025-08-05,August,Q3,2025,Star Air,XX,USD,414036.00,24842.16,9068.00,43682.38,430,1110480.00,66628.80,15625.00,2490,938948.36,56336.72,13198.64,171531.64,10292.08,171531.64,15.45,-696444.00,84.55
2025-10-03,October,Q4,2025,Star Air,XX,USD,62291.00,3737.46,1211.00,6510.45,68,740760.00,44445.60,18335.00,1764,625121.17,37507.45,9996.94,115638.83,6938.15,115638.83,15.61,-678469.00,84.39
2025-10-12,October,Q4,2025,Star Air,XX,USD,59060.00,3543.60,950.00,6105.83,69,1373120.00,82387.20,28670.00,1717,1157461.69,69447.68,19708.28,215658.32,12939.52,215658.31,15.71,-1314060.00,84.29
2026-02-18,February,Q1,2026,Star Air,XX,USD,35542.00,2132.52,195.00,3658.88,28,1565720.00,93943.20,25080.00,2156,1316754.41,79005.21,21320.02,248965.59,14937.99,248965.59,15.90,-1530178.00,84.10
2026-02-26,February,Q1,2026,Star Air,XX,USD,42247.00,2534.82,443.00,4320.61,42,1323250.00,79395.00,21235.00,2424,1118946.34,67136.58,17890.99,204303.67,12258.42,204303.66,15.44,-1281003.00,84.56
2025-12-29,December,Q4,2025,Star Air,XX,USD,72344.00,4340.64,757.00,7495.16,72,809900.00,48594.00,16340.00,1471,682983.06,40979.01,8358.85,126916.94,7614.99,126916.94,15.67,-737556.00,84.33
2026-03-12,March,Q1,2026,Star Air,XX,USD,33054.00,1983.24,198.00,3224.64,31,751920.00,45115.20,10125.00,1467,636269.47,38176.06,8613.91,115650.53,6939.14,115650.53,15.38,-718866.00,84.62
2025-02-12,February,Q1,2025,Star Air,XX,USD,98026.00,5881.56,1436.00,10066.94,106,1247550.00,74853.00,17710.00,2239,1052113.06,63126.83,14977.81,195436.95,11726.17,195436.94,15.67,-1149524.00,84.33
2025-01-13,January,Q1,2025,Star Air,XX,USD,137345.00,8240.70,2107.00,14508.12,132,722520.00,43351.20,10290.00,1491,608504.90,36510.24,8728.78,114015.11,6840.96,114015.10,15.78,-585175.00,84.22
2025-06-15,June,Q2,2025,Star Air,XX,USD,366511.00,21990.66,8060.00,38433.24,383,2208380.00,132502.80,33575.00,2605,1864649.24,111378.30,28317.46,343730.76,21124.50,343730.76,15.56,-1841869.00,84.44
2025-04-16,April,Q2,2025,Star Air,XX,USD,567284.00,34037.04,8029.00,58972.14,562,1590985.00,95459.10,21330.00,1693,1348970.83,77659.90,18054.78,242014.17,17799.20,242014.17,15.21,-1023701.00,84.79
2025-12-14,December,Q4,2025,Star Air,XX,USD,56686.00,3401.16,1135.00,5931.86,61,1681505.00,100890.30,72615.00,2631,1422671.28,85360.00,20053.72,258833.72,15530.30,258833.72,15.39,-1624819.00,84.61
2025-11-12,November,Q4,2025,Star Air,XX,USD,65564.00,3933.84,1310.00,6609.23,70,1014470.00,60868.20,21750.00,1699,856201.63,51372.05,12814.18,158268.38,9496.15,158268.37,15.60,-948906.00,84.40
2025-03-27,March,Q1,2025,Star Air,XX,USD,101195.00,6071.70,701.00,10509.47,82,1082875.00,64972.50,17140.00,1496,917466.41,55047.97,14645.23,165408.59,9924.53,165408.59,15.27,-981680.00,84.73
2025-06-07,June,Q2,2025,Star Air,XX,USD,391360.00,23481.60,8650.00,41221.15,399,965085.00,57905.10,14715.00,1907,815769.37,48281.03,12482.46,149315.64,9624.07,149315.63,15.47,-573725.00,84.53
2025-07-13,July,Q3,2025,Star Air,XX,USD,430594.00,25835.64,8211.00,44601.79,404,1420595.00,85235.70,20480.00,1984,1200075.97,72004.61,17335.04,220519.04,13231.09,220519.03,15.52,-990001.00,84.48
2025-09-26,September,Q3,2025,Star Air,XX,USD,659837.00,39590.22,14669.00,69054.09,696,1268230.00,76093.80,20850.00,2471,1075394.03,64523.49,17499.24,192835.97,11570.31,192835.97,15.21,-608393.00,84.79
2025-07-17,July,Q3,2025,Star Air,XX,USD,394707.00,23682.42,9295.00,40904.92,400,1678900.00,100734.00,26440.00,2186,1421606.18,85296.43,22177.94,257293.82,15437.57,257293.82,15.33,-1284193.00,84.67
2025-11-27,November,Q4,2025,Star Air,XX,USD,90146.00,5408.76,2248.00,8940.04,74,1675780.00,100546.80,37170.00,2664,1425101.58,85505.84,20460.20,250678.43,15040.96,250678.42,14.96,-1585634.00,85.04
2025-12-11,December,Q4,2025,Star Air,XX,USD,51411.00,3084.66,972.00,5354.57,56,1009230.00,60553.80,35870.00,1700,856259.40,51375.49,12268.75,152970.60,9178.31,152970.60,15.16,-957819.00,84.84
2026-02-22,February,Q1,2026,Star Air,XX,USD,46446.00,2786.76,360.00,4808.27,37,2024180.00,121450.80,33320.00,2890,1714752.03,102885.34,28279.97,309427.97,18565.46,309427.97,15.29,-1977734.00,84.71
2026-01-14,January,Q1,2026,Star Air,XX,USD,58848.00,3530.88,1046.00,6235.13,54,1269305.00,76158.30,18870.00,1658,1082113.32,64926.69,16076.76,187191.68,11231.61,187191.68,14.75,-1210457.00,85.25
2026-01-27,January,Q1,2026,Star Air,XX,USD,54596.00,3275.76,999.00,5755.38,55,886635.00,53198.10,13705.00,1971,751843.85,45110.66,11633.49,134791.15,8087.44,134791.15,15.20,-832039.00,84.80
2026-03-05,March,Q1,2026,Star Air,XX,USD,34410.00,2064.60,294.00,3478.45,33,806125.00,48367.50,12720.00,1704,682630.50,40957.58,10759.41,123494.50,7409.92,123494.50,15.32,-771715.00,84.68
2026-03-25,March,Q1,2026,Star Air,XX,USD,13357.00,801.42,252.00,1378.95,7,460730.00,27643.80,6105.00,1241,388652.55,23319.21,5145.25,72077.46,4324.59,72077.45,15.64,-447373.00,84.36
2025-12-10,December,Q4,2025,Star Air,XX,USD,95272.00,5716.32,2362.00,9814.33,85,1540890.00,92453.40,48985.00,2173,1305378.56,78322.68,18142.99,235511.44,14130.72,235511.44,15.28,-1445618.00,84.72
2026-01-22,January,Q1,2026,Star Air,XX,USD,39328.00,2359.68,543.00,4079.37,43,1568965.00,94137.90,22405.00,2195,1325983.25,79558.87,18806.63,242981.75,14579.03,242981.75,15.49,-1529637.00,84.51
2026-01-28,January,Q1,2026,Star Air,XX,USD,44497.00,2669.82,692.00,4540.34,44,1029505.00,61770.30,18210.00,1474,866649.08,51998.86,15420.85,162855.92,9771.44,162855.92,15.82,-985008.00,84.18
2026-03-11,March,Q1,2026,Star Air,XX,USD,17168.00,1030.08,97.00,1719.48,17,803785.00,48227.10,11390.00,1481,681302.06,40878.24,9737.94,122482.94,7348.86,122482.94,15.24,-786617.00,84.76
2026-02-19,February,Q1,2026,Star Air,XX,USD,36781.00,2206.86,864.00,3819.15,37,686115.00,41166.90,11895.00,1220,582538.31,34952.17,10103.68,103576.69,6214.73,103576.69,15.10,-649334.00,84.90
2025-01-08,January,Q1,2025,Star Air,XX,USD,105454.00,6327.24,2108.00,11066.07,117,1528305.00,91698.30,22895.00,1999,1291291.73,77477.47,19538.86,237013.27,14220.83,237013.27,15.51,-1422851.00,84.49
2025-02-27,February,Q1,2025,Star Air,XX,USD,117520.00,7051.20,1773.00,12169.52,116,1735705.00,104142.30,26540.00,2724,1468019.29,88081.10,22448.69,267685.71,16061.20,267685.71,15.42,-1618185.00,84.58
2025-05-16,May,Q2,2025,Star Air,XX,USD,426174.00,25570.44,6384.00,44888.27,410,961835.00,57710.10,12785.00,1722,806402.46,48384.32,10832.50,155432.54,9325.78,155432.54,16.16,-535661.00,83.84
2025-04-21,April,Q2,2025,Star Air,XX,USD,489128.00,29347.68,6350.00,50918.24,493,698750.00,41925.00,9985.00,1231,594203.85,35662.24,8438.27,104546.15,6262.76,104546.15,14.96,-209622.00,85.04
2025-09-03,September,Q3,2025,Star Air,XX,USD,592003.00,35520.18,14055.00,61335.06,596,1555955.00,93357.30,23155.00,2239,1320658.67,79239.49,19616.14,235296.33,14117.81,235296.33,15.12,-963952.00,84.88
2025-08-07,August,Q3,2025,Star Air,XX,USD,413627.00,24817.62,8712.00,42885.74,430,974510.00,58470.60,12995.00,1420,825498.02,49529.98,11021.14,149011.98,8940.62,149011.98,15.29,-560883.00,84.71
2025-09-01,September,Q3,2025,Star Air,XX,USD,531685.00,31901.10,10637.00,54991.31,534,302595.00,18155.70,3765.00,732,254885.90,15293.13,3204.09,47709.10,2862.57,47709.10,15.77,229090.00,84.23
2025-02-21,February,Q1,2025,Star Air,XX,USD,114695.00,6881.70,1520.00,11801.23,108,1247440.00,74846.40,17800.00,2811,1057007.00,63420.17,15150.34,190433.00,11426.23,190433.00,15.27,-1132745.00,84.73
2025-05-22,May,Q2,2025,Star Air,XX,USD,489739.00,29384.34,8623.00,50921.45,473,1450990.00,87059.40,21675.00,1635,1225136.12,68281.84,18302.59,225853.91,18777.56,225853.88,15.57,-961251.00,84.43
2025-06-22,June,Q2,2025,Star Air,XX,USD,400784.00,24047.04,6933.00,42385.76,370,1869080.00,112144.80,26670.00,2132,1584217.04,94489.76,22828.66,284862.98,17655.04,284862.96,15.24,-1468296.00,84.76
2025-04-03,April,Q2,2025,Star Air,XX,USD,777569.00,46654.14,12382.00,81034.59,736,726920.00,43615.20,11465.00,1161,616399.27,37016.27,9896.65,110520.73,6598.93,110520.73,15.20,50649.00,84.80
2025-09-17,September,Q3,2025,Star Air,XX,USD,639629.00,38377.74,14747.00,66504.84,658,1236845.00,74210.70,18790.00,1982,1050410.63,63024.49,15852.58,186434.37,11186.21,186434.37,15.07,-597216.00,84.93
2025-08-10,August,Q3,2025,Star Air,XX,USD,445982.00,26758.92,10750.00,46510.83,459,1348310.00,80898.60,19300.00,2029,1138620.72,68317.27,16358.55,209689.29,12581.33,209689.28,15.55,-902328.00,84.45
2025-12-31,December,Q4,2025,Star Air,XX,USD,55002.00,3300.12,741.00,5912.55,58,1444020.00,86641.20,26620.00,2139,1215399.76,72923.85,18008.32,228620.24,13717.35,228620.24,15.83,-1389018.00,84.17
2026-03-23,March,Q1,2026,Star Air,XX,USD,17534.00,1052.04,702.00,1703.34,15,1234960.00,74097.60,17310.00,2468,1047011.16,62820.80,14622.46,187948.85,11276.80,187948.84,15.22,-1217426.00,84.78
